paper_title,doi,cited_by_count,fwci,snapshot_date
Animals and Social Welfare,10.1007/s00355-023-01495-x,23.0,13.53340271,2026-01-18
Behavioral Evidence for Global Consciousness Transcending National Parochialism,10.1038/s41598-023-47333-z,9.0,4.6042803,2026-01-18
Giving farm animals a name and a face: Eliciting animal advocacy among omnivores using the identifiable victim effect,10.1016/j.jenvp.2023.102193,8.0,2.87417965,2026-01-18
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions ",10.3386/w32073,6.0,,2026-01-18
Digital Information Provision and Behavior Change: Lessons from Six Experiments in East Africa,10.3386/w32048,3.0,,2026-01-18
"A Framework for Economic Growth with Capital-Embodied Technicality Change
",10.1257/aer.20221180,15.0,14.99513708,2026-01-18
Long-term effects of lead,10.3386/w31957,6.0,,2026-01-18
Copyright Policy Options for Generative Artificial Intelligence,10.3386/w32106,6.0,,2026-01-18
How Learning About Harms Impacts the Optimal Rate of Artificial Intelligence Adoption,10.3386/w32105,5.0,,2026-01-18
Urban Forests: Environmental Health Values and Risks,10.3386/w31554,9.0,,2026-01-18
What drives poor quality of care for child diarrhea?,10.1126/science.adj9986,13.0,61.48049671,2026-01-18
AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy,10.48550/arXiv.2402.07862,3.0,,2026-01-18
Effective and Scalable Math Support: Evidence on the Impact of an AITutor on Math Achievement in Ghana,10.1007/978-3-031-64315-6_34,14.0,17.63975226,2026-01-18
Robots For Economic Development,10.1016/j.labeco.2025.102731,4.0,17.64461453,2026-01-18
Moral expansiveness around the world: The role of societal factors across 36 countries,10.1177/19485506221101767,23.0,6.24021069,2026-01-18
National parochialism is ubiquitous across 42 nations around the world. Nature Communications. ,10.1038/s41467-021-24787-1,127.0,22.73540663,2026-01-18
Who Stands on the Shoulders of Chinese (Scientific) Giants? Evidence from Chemistry,10.3386/w30772,8.0,,2026-01-18
Informing Mothers about the Benefits of Conversing with Infants: Experimental Evidence from Ghana,10.3386/w31264,9.0,,2026-01-18
Germs in the Family: The Long-Term Consequences of Intra-Household Endemic Respiratory Disease Spread,10.3386/w29524,3.0,,2026-01-18
Understanding the Impacts of a Natural Disaster: Evidence from the 2004 Indian Ocean Tsunami,10.1007/978-3-031-28089-4_11,2.0,2.087073,2026-01-18
Harms of AI,10.3386/w29247,115.0,,2026-01-18
"Reducing Bias Among Health Care Providers: Experimental Evidence From Tanzania, Burkina Faso, and Pakistan",10.3386/w31269,4.0,,2026-01-18
The Impact of Group Size on Giving Versus Demand for Redistribution [renamed],10.1016/j.jpubeco.2024.105200,1.0,1.06278649,2026-01-18
Uncertainty and Individual Discretion in Allocating Research Funds,10.3386/w32033,0.0,,2026-01-18
Surplus Appropriation from R&D and Health Care Technology Assessment Procedures,10.3386/w12016,15.0,,2026-01-18
Global variation in subjective well-being predicts seven forms of altruism. ,10.1177/0956797621994767,57.0,7.98157892,2026-01-18
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,10.1080/21606544.2022.2138980,8.0,1.84754372,2026-01-18
Structural Uncertainty and the Value of Statistical Life in the Economics of Catastrophic Climate Change,10.1093/reep/rer006,500.0,61.84896853,2026-01-18
Generation Next: Experimentation with AI,10.3386/w31679,6.0,,2026-01-18
Pharmaceutical Pricing and R&D as a Global Public Good,10.3386/w31272,3.0,,2026-01-18
Every little helps: exploring meat and animal product consumption in the Tesco 1.0 dataset,10.1186/s43170-023-00178-y,1.0,0.30250824,2026-01-18
Population ethical intuitions.,10.1016/j.cognition.2021.104941,11.0,1.07422445,2026-01-18
Randomized Regulation: The Impact of Minimum Quality Standards on Health Markets,10.3386/w31203,5.0,,2026-01-18
Stagnation and Scientific Incentives,10.3386/w26752,56.0,,2026-01-18
The Surrogate Index: Combining Short-Term Proxies to Estimate Long-Term Treatment Effects More Rapidly and Precisely.,10.3386/w26463,110.0,,2026-01-18
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,10.1287/mnsc.2020.00596,3.0,6.28794526,2026-01-18
Does Combating Corruption Reduce Clientelism?,10.3386/w31266,0.0,,2026-01-18
Where Have All the “Creative Talents” Gone?,10.3386/w31085,12.0,,2026-01-18
"Money, Time, and Grant Design",10.1257/aer.20161574,343.0,25.10368788,2026-01-18
Advance Market Commitments: Insights from Theory and Experience,10.1257/pandp.20201017,81.0,11.11572406,2026-01-18
Banning wildlife trade can boost demand for unregulated threatened species,10.1111/conl.13077,9.0,28.0644457,2026-01-18
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,10.1257/aer.20221215,128.0,501.52036296,2026-01-18
Biodiversity risk,10.3386/w31137,127.0,,2026-01-18
Towards best practices in AGI safety and governance,10.48550/arXiv.2305.07153,15.0,,2026-01-18
Global Supply Chains in the Pandemic,10.1016/j.jinteco.2021.103534,334.0,50.28344203,2026-01-18
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,10.3386/w30126,0.0,,2026-01-18
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,10.1016/j.ijdrr.2022.102798,14.0,12.87645465,2026-01-18
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",10.3386/w31162,5.0,,2026-01-18
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,10.1257/aeri.20210612,27.0,6.56666223,2026-01-18
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",10.3386/w31663,4.0,,2026-01-18
The Returns to Science In the Presence of Technological Risks,10.48550/arXiv.2312.14289,0.0,,2026-01-18
Adaptability and the Pivot Penalty in Science,10.48550/arXiv.2107.06476,2.0,,2026-01-18
