research,evaluator,criteria,middle_rating,lower_CI,upper_CI,confidence_level
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Karthik Tadepalli,merits_journal,4,3,5,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Karthik Tadepalli,overall,90,75,95,
Replicability & Generalisability:  A Guide to CEA discounts,Max Meier,overall,40,10,60,
Replicability & Generalisability:  A Guide to CEA discounts,Anon. evaluator 1,overall,25,0,50,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 2,overall,85,65,95,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 2,merits_journal,4,2.5,5.0,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 1,merits_journal,4.7,4,5.0,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 1,overall,83,93,100,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 2,overall,92,81,100,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 2,merits_journal,4.7,4.4,5.0,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 1,merits_journal,4,3.5,4.5,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 1,overall,77,70,84,
When do “Nudges” Increase Welfare?,Anon. evaluator 1,merits_journal,40,40,50,
When do “Nudges” Increase Welfare?,Anon. evaluator 2,overall,86,76,96,
When do “Nudges” Increase Welfare?,Anon. evaluator 1,journal_predict,4,35,42,
Legalizing Entrepreneurship,Anon. evaluation 1,merits_journal,2.5,2,3,
Legalizing Entrepreneurship,Anon. evaluation 2,merits_journal,4.7,4,5,
Legalizing Entrepreneurship,Anon. evaluation 2,overall,90,85,97,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 2,merits_journal,3.5,3,4,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 2,overall,75,60,90,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 1,merits_journal,4.5,4,5,
Effects of Emigration on Rural Labor Markets,Frank Gyimah Sackey,merits_journal,2.5,1,3,
Effects of Emigration on Rural Labor Markets,Frank Gyimah Sackey,overall,70,50,78,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 1,overall,75,70,85,
When do “Nudges” Increase Welfare?,Anon. evaluator 1,overall,85,70,95,
Legalizing Entrepreneurship,Anon. evaluation 1,overall,60,50,70,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Tim Colbourn,overall,60,50,70,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Tim Colbourn,adv_knowledge,60,50,70,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Tim Colbourn,methods,50,40,60,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Tim Colbourn,logic_comms,60,50,70,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Tim Colbourn,open_sci,60,50,70,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Tim Colbourn,real_world,60,50,70,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Tim Colbourn,gp_relevance,80,70,90,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Tim Colbourn,merits_journal,3,2.5,3.5,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Tim Colbourn,journal_predict,3,2.5,3.5,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,adv_knowledge,80,,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,methods,50,,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,logic_comms,70,,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,real_world,90,,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,gp_relevance,65,,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,journal_predict,2.5,,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,open_sci,50,,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,merits_journal,3,,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,overall,75,,,
The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Anonymous_2,adv_knowledge,70,55,75,
The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Anonymous_2,methods,60,55,70,
The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Anonymous_2,logic_comms,55,50,65,
The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Anonymous_2,real_world,55,45,75,
The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Anonymous_2,gp_relevance,80,70,90,
The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Anonymous_2,journal_predict,3.6,2.8,4,
The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Anonymous_2,open_sci,45,30,60,
The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Anonymous_2,merits_journal,3.8,3,4.1,
The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Anonymous_2,overall,65,55,74,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Anca Hanea,adv_knowledge,80,70,90,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Anca Hanea,methods,70,50,90,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Anca Hanea,logic_comms,85,65,95,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Anca Hanea,real_world,,,,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Anca Hanea,gp_relevance,85,70,90,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Anca Hanea,journal_predict,3.5,3,5,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Anca Hanea,open_sci,73,50,95,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Anca Hanea,merits_journal,4,3,5,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Anca Hanea,overall,80,60,90,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 1,adv_knowledge,65,,,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 1,methods,60,,,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 1,logic_comms,75,,,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 1,real_world,75,,,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 1,gp_relevance,75,,,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 1,journal_predict,,,,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 1,open_sci,50,,,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 1,merits_journal,4,,,4
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 1,overall,75,,,4
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Alex Bates,adv_knowledge,30,20,60,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Alex Bates,methods,50,40,60,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Alex Bates,logic_comms,60,40,75,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Alex Bates,real_world,,,,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Alex Bates,gp_relevance,90,60,95,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Alex Bates,journal_predict,2,1,2,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Alex Bates,open_sci,70,40,75,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Alex Bates,merits_journal,2,1,2,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Alex Bates,overall,40,20,60,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Robert Kubinec,adv_knowledge,90,85,95,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Robert Kubinec,methods,80,70,90,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Robert Kubinec,logic_comms,80,75,85,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Robert Kubinec,real_world,90,85,95,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Robert Kubinec,gp_relevance,90,85,95,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Robert Kubinec,journal_predict,4.8,4,5,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Robert Kubinec,open_sci,70,60,80,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Robert Kubinec,merits_journal,4.8,4.5,5,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Robert Kubinec,overall,90,85,95,
Advance Market Commitments: Insights from Theory and Experience,David Manheim,adv_knowledge,25,20,40,
Advance Market Commitments: Insights from Theory and Experience,David Manheim,methods,95,85,97.5,
Advance Market Commitments: Insights from Theory and Experience,David Manheim,logic_comms,75,60,90,
Advance Market Commitments: Insights from Theory and Experience,David Manheim,real_world,,,,
Advance Market Commitments: Insights from Theory and Experience,David Manheim,gp_relevance,60,40,75,
Advance Market Commitments: Insights from Theory and Experience,David Manheim,journal_predict,3,2.5,4.5,
Advance Market Commitments: Insights from Theory and Experience,David Manheim,open_sci,,,,
Advance Market Commitments: Insights from Theory and Experience,David Manheim,merits_journal,,,,
Advance Market Commitments: Insights from Theory and Experience,David Manheim,overall,80,70,90,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,adv_knowledge,70,,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,methods,80,,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,logic_comms,70,,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,real_world,90,,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,gp_relevance,80,,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,journal_predict,3,,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,open_sci,70,,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,merits_journal,3,,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,overall,75,,,
Advance Market Commitments: Insights from Theory and Experience,Joel Tan,adv_knowledge,90,70,100,
Advance Market Commitments: Insights from Theory and Experience,Joel Tan,methods,70,50,90,
Advance Market Commitments: Insights from Theory and Experience,Joel Tan,logic_comms,70,50,90,
Advance Market Commitments: Insights from Theory and Experience,Joel Tan,real_world,90,70,100,
Advance Market Commitments: Insights from Theory and Experience,Joel Tan,gp_relevance,90,70,100,
Advance Market Commitments: Insights from Theory and Experience,Joel Tan,journal_predict,5,,,
Advance Market Commitments: Insights from Theory and Experience,Joel Tan,open_sci,50,30,70,
Advance Market Commitments: Insights from Theory and Experience,Joel Tan,merits_journal,5,,,
Advance Market Commitments: Insights from Theory and Experience,Joel Tan,overall,79,59,94,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Anonymous_10,adv_knowledge,76,68,83,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Anonymous_10,methods,72,63,81,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Anonymous_10,logic_comms,67,62,78,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Anonymous_10,real_world,91,78,94,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Anonymous_10,gp_relevance,92,82,95,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Anonymous_10,journal_predict,4.6,3.8,5,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Anonymous_10,open_sci,48,42,68,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Anonymous_10,merits_journal,4.3,3.7,4.8,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Anonymous_10,overall,80,71,86,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,adv_knowledge,90,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,methods,75,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,logic_comms,80,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,real_world,95,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,gp_relevance,95,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,journal_predict,4,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,open_sci,90,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,merits_journal,4,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,overall,88,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,adv_knowledge,90,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,methods,80,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,logic_comms,80,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,real_world,,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,gp_relevance,95,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,journal_predict,4,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,open_sci,90,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,merits_journal,4,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,overall,80,,,
Artificial Intelligence and Economic Growth,Seth Benzell,adv_knowledge,75,65,85,
Artificial Intelligence and Economic Growth,Seth Benzell,methods,80,75,85,
Artificial Intelligence and Economic Growth,Seth Benzell,logic_comms,70,60,80,
Artificial Intelligence and Economic Growth,Seth Benzell,real_world,,,,
Artificial Intelligence and Economic Growth,Seth Benzell,gp_relevance,90,85,100,
Artificial Intelligence and Economic Growth,Seth Benzell,journal_predict,,,,
Artificial Intelligence and Economic Growth,Seth Benzell,open_sci,95,90,100,
Artificial Intelligence and Economic Growth,Seth Benzell,merits_journal,4,3.5,5,
Artificial Intelligence and Economic Growth,Seth Benzell,overall,80,70,90,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anonymous_14,adv_knowledge,55,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anonymous_14,methods,55,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anonymous_14,logic_comms,70,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anonymous_14,real_world,55,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anonymous_14,gp_relevance,70,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anonymous_14,journal_predict,3,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anonymous_14,open_sci,45,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anonymous_14,merits_journal,3,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anonymous_14,overall,62,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,adv_knowledge,70,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,methods,,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,logic_comms,80,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,real_world,,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,gp_relevance,80,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,journal_predict,3.5,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,open_sci,,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,merits_journal,3.5,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,overall,65,,,
Artificial Intelligence and Economic Growth,Phil Trammel,adv_knowledge,97,80,100,
Artificial Intelligence and Economic Growth,Phil Trammel,methods,70,40,90,
Artificial Intelligence and Economic Growth,Phil Trammel,logic_comms,45,30,70,
Artificial Intelligence and Economic Growth,Phil Trammel,real_world,,,,
Artificial Intelligence and Economic Growth,Phil Trammel,gp_relevance,92,80,100,
Artificial Intelligence and Economic Growth,Phil Trammel,journal_predict,3.5,,,
Artificial Intelligence and Economic Growth,Phil Trammel,open_sci,80,,,
Artificial Intelligence and Economic Growth,Phil Trammel,merits_journal,5,,,
Artificial Intelligence and Economic Growth,Phil Trammel,overall,92,80,100,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 2,adv_knowledge,60,55,65,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 2,methods,90,82,94,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 2,logic_comms,70,62,82,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 2,real_world,50,48,52,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 2,gp_relevance,50,40,60,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 2,journal_predict,4,,,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 2,open_sci,90,80,95,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anirugh Tagat,adv_knowledge,90,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anirugh Tagat,methods,80,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anirugh Tagat,logic_comms,85,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anirugh Tagat,real_world,100,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anirugh Tagat,gp_relevance,100,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anirugh Tagat,journal_predict,4,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anirugh Tagat,open_sci,80,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anirugh Tagat,merits_journal,5,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Anirugh Tagat,overall,85,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,adv_knowledge,70,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,methods,70,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,logic_comms,75,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,real_world,60,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,gp_relevance,80,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,journal_predict,4,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,open_sci,65,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,merits_journal,4,,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,overall,70,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,adv_knowledge,90,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,methods,90,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,logic_comms,80,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,real_world,100,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,gp_relevance,100,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,journal_predict,4,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,open_sci,70,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,merits_journal,5,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,overall,90,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,adv_knowledge,70,60,90,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,methods,90,85,95,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,logic_comms,75,70,90,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,real_world,75,60,90,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,gp_relevance,90,80,100,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,journal_predict,3,2,4,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,open_sci,50,40,80,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,merits_journal,4,3,4,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,overall,75,65,85,
