ISSN,Journal,Subject,JourQual,FT,Cnrs,EJL,ABS,Den,Hceres,Scopus,ABDC,Fnege,Meta,princomp1,h_index,citedness,JourQual2
1368-4221,Econometrics Journal,Economics,NA,1,2,NA,3,2,A,4.3,A,3,NA,-1.8478047331747018,NA,NA,NA
0143-831X,Economic and Industrial Democracy,Economics,NA,2,3,NA,3,1,B,3.4,A,3,NA,0.5171840998659412,60,1.6761904761904762,NA
1573-9414,Economic Change and Restructuring,Economics,NA,2,4,NA,1,1,C,3.1,B,NA,NA,3.4701716023410967,41,4.608974358974359,NA
0013-0079,Economic Development and Cultural Change,Sociology,NA,2,1,NA,3,1,A,2.5,A,NA,NA,-1.247684543814647,147,2.265957446808511,NA
0891-2424,Economic Development Quarterly,PSM,NA,2,2,NA,NA,1,A,2.4,B,NA,NA,0.6313202870207714,72,1.0588235294117647,NA
0013-0095,Economic Geography,Economics,NA,2,1,NA,4,2,A,10.2,A,1,NA,-3.147048673829772,NA,NA,NA
0013-0117,Economic History Review,Economics,NA,2,1,NA,4,2,A,2.3,A,NA,NA,-2.810982675334303,142,0.9637305699481865,NA
0095-2583,Economic Inquiry,Economics,NA,2,2,NA,3,1,A,2.3,A,3,NA,-0.0882954423569529,144,2.085227272727273,NA
1363-7029,Economic Issues,Economics,NA,2,NA,NA,1,1,NA,NA,B,NA,NA,3.0434439513342704,15,0,NA
0013-0133,Economic Journal,Economics,A,2,1,NA,4,2,A,5.9,A*,1,NA,-3.8458478282661623,NA,NA,A
0264-9993,Economic Modelling,Economics,NA,2,2,NA,2,1,A,4.0,A,3,NA,0.4882301445294299,129,4.948680351906158,NA
0266-4658,Economic Policy,Economics,NA,2,2,NA,3,1,A,10.9,A,NA,NA,-0.4410335857942516,132,2.86734693877551,NA
0013-0249,Economic Record,Economics,NA,2,3,NA,2,1,B,1.3,A,NA,NA,1.1362857290121955,84,0.4696969696969697,NA
0938-2259,Economic Theory,Economics,NA,2,1,NA,3,1,A,2.0,A*,NA,NA,-1.9116630998570148,99,1.4797297297297298,NA
0013-0427,Economica,Economics,NA,2,2,NA,3,1,A,2.9,A,3,NA,-0.0882954423569529,NA,NA,NA
0266-2671,Economics and Philosophy,Economics,NA,2,2,NA,2,1,A,1.2,A,NA,NA,0.32963477099179983,71,1.4805194805194806,NA
0954-1985,Economics and Politics,Economics,NA,2,3,NA,2,1,B,2.5,A,NA,NA,1.1362857290121955,76,1.3783783783783783,NA
0165-1765,Economics Letters,Economics,B,2,3,NA,3,1,B,2.7,A,3,B,0.32349812476837136,183,2.7236180904522613,B
0272-7757,Economics of Education Review,Education,NA,2,2,NA,2,2,A,3.2,A,NA,NA,-0.4629950037418005,148,2.3511904761904763,NA
1043-8599,Economics of Innovation and New Technology,Entrep,B,2,3,NA,2,1,B,3.5,B,4,NA,1.7232006332260421,87,2.652173913043478,B
0967-0750,Economics of Transition,Economics,NA,2,2,S,2,1,A,NA,A,NA,NA,0.781514275176522,78,0,NA
0308-5147,Economy and Society,Economics,NA,2,2,NA,3,2,A,2.9,A,3,NA,-0.7295060536390654,NA,NA,NA
1557-3060,Education Finance and Policy,Education/Econ,NA,2,NA,NA,NA,1,NA,4.4,A,NA,NA,-1.3630699022052724,52,2.6607142857142856,NA
0013-1644,Educational and Psychological Measurement,Education,NA,2,NA,NA,NA,2,NA,3.8,A,NA,NA,-1.4630598306213616,173,2.1140350877192984,NA
0013-1881,Educational Research,Education,NA,2,NA,NA,NA,2,NA,2.9,NA,NA,NA,-2.2161493440020767,86,2.066666666666667,NA
1389-5753,Electronic Commerce Research,"MIS, KM",C,2,NA,NA,2,1,NA,5.3,A,4,NA,2.12145502112339,63,4.065326633165829,C
1567-4223,Electronic Commerce Research and Applications,"MIS, KM",C,2,4,S,2,2,B,7.4,C,4,B,2.6422996345551093,110,6.510989010989011,C
1019-6781,Electronic Markets,"MIS, KM",B,2,3,NA,2,1,B,7.4,A,3,B,0.7834087134859288,NA,NA,B
1566-0141,Emerging Markets Review,F&A,NA,2,3,NA,2,1,B,5.3,A,3,B,1.093709686752324,82,6.103448275862069,NA
0340-8744,Empirica,Economics,NA,2,NA,NA,1,1,NA,1.8,C,NA,NA,3.93493353556546,48,2.4285714285714284,NA
0377-7332,Empirical Economics,Economics,NA,2,4,NA,2,1,C,2.0,A,NA,NA,1.942936687032593,96,2.1263736263736264,NA
0142-5455,Employee Relations,"OS/OB,HRM/IR",B,2,4,NA,2,1,B,2.8,B,3,NA,1.731369362477998,83,3.5170068027210886,B
0140-9883,Energy Economics,Economics,B,2,2,NA,3,2,A,10.0,A*,NA,A,-1.6975417720555324,240,15.031606672519754,B
0195-6574,Energy Journal,Economics,NA,2,1,NA,3,1,A,4.4,A,2,NA,-1.3115437301205612,NA,NA,NA
0301-4215,Energy Policy,Economics,B,2,2,NA,2,2,A,10.2,A,2,B,-0.8121444176535191,306,10.592819614711033,B
1467-2227,Enterprise and Society,Bus Hist,NA,2,3,S,3,2,B,0.9,A,3,NA,0.28781966381608426,NA,NA,NA
0898-5626,Entrepreneurship and Regional Development,Entrep,B,2,NA,S,3,2,A,5.8,A,2,B,-0.6318889082911585,NA,NA,B
1042-2587,Entrepreneurship Theory and Practice,Entrep,A,1,1,P,4,2,A,17.7,A*,1,A,-4.869933450345159,261,8.0234375,A
0308-518X,Environment and Planning A,PSM,NA,2,2,NA,3,2,A,5.6,A*,2,B,-1.885723215592153,NA,NA,NA
0265-8135,Environment and Planning B: Planning and Design,PSM,NA,2,NA,NA,NA,2,NA,NA,A*,NA,NA,-2.853744639698516,NA,NA,NA
0263-774X,Environment and Planning C: Government and Policy,PSM,NA,2,NA,NA,3,2,NA,NA,B,NA,NA,-0.27298374010086873,90,0,NA
0263-7758,Environment and Planning D: Society and Space,PSM,NA,2,NA,NA,4,2,NA,6.3,A,4,B,-0.4578782192039169,NA,NA,NA
0924-6460,Environmental and Resource Economics,Economics,NA,2,2,NA,3,1,A,4.2,A,2,NA,-0.7060641878976677,NA,NA,NA
0966-8136,Europe-Asia Studies,IB,NA,2,3,NA,2,2,B,2.0,C,4,NA,2.2217497469812955,74,0.9331395348837209,NA
0963-8180,European Accounting Review,F&A,A,2,2,P,3,2,A,3.7,A*,2,B,-2.5955133674543034,118,3.2100840336134455,A
0955-534X,European Business Review,Gen & Strat,NA,2,3,NA,2,1,B,5.3,B,3,B,1.6321581031646963,70,4.088235294117647,NA
0014-2921,European Economic Review,Economics,B,2,1,NA,3,2,A,3.0,A*,2,NA,-2.220015655363146,235,3.8533333333333335,B
1354-7798,European Financial Management,F&A,B,2,3,S,3,1,B,2.3,A,3,B,0.6333553763105294,98,2.5,B
0267-3231,European Journal of Communication,Comm,NA,2,NA,NA,NA,2,NA,5.8,B,NA,NA,-0.07237502154420496,96,0.8792270531400966,NA
1351-847X,European Journal of Finance,F&A,B,2,4,S,3,1,B,2.3,A,3,B,1.044264340610733,72,2.4554973821989527,B
1618-7598,European Journal of Health Economics,Economics,B,2,2,NA,2,1,A,4.3,A,NA,B,0.12103012892920707,79,3.296774193548387,B
0959-6801,European Journal of Industrial Relations,"OS/OB,HRM/IR",C,2,3,S,3,2,B,2.5,A,3,B,0.5992102178568597,63,2.3863636363636362,C
0960-085X,European Journal of Information Systems,"MIS, KM",A,2,1,P,4,2,A,7.7,A*,1,A,-3.7988432527710683,142,7.5,A
1460-1060,European Journal of Innovation Management,Innovation,C,2,4,NA,1,1,C,5.7,C,4,NA,3.8220251925683955,97,5.240816326530612,C
1751-6757,European Journal of International Management,IB,B,2,4,NA,2,1,C,3.7,C,4,NA,2.8116263480949644,32,0.3602150537634409,B
0309-0566,European Journal of Marketing,Marketing,C,2,3,S,3,2,B,4.7,A*,2,B,-0.2226607913577303,208,4.367588932806324,C
0377-2217,European Journal of Operational Research,"OR,MS,POM",A,2,1,P,4,1,A,9.5,A*,1,A,-3.2199833696746323,362,6.897209985315712,A
0890-2070,European Journal of Personality,Psychology,NA,2,NA,NA,NA,2,NA,6.5,A,NA,NA,-1.4630598306213616,133,3.591666666666667,NA
0176-2680,European Journal of Political Economy,Economics,NA,2,2,NA,2,1,A,3.4,A,3,NA,0.4882301445294299,130,2.949438202247191,NA
0304-4130,European Journal of Political Research,Sociology,NA,2,NA,NA,NA,2,NA,6.4,A,NA,NA,-1.4630598306213616,155,3.5369127516778525,NA
0046-2772,European Journal of Social Psychology,Psychology,NA,2,NA,NA,3,2,NA,4.4,A,NA,NA,-1.1644733243320575,177,2.815668202764977,NA
0003-9756,European Journal of Sociology,Sociology,NA,2,NA,NA,NA,2,NA,NA,A,NA,NA,-1.4630598306213616,2,0.14285714285714285,NA
0967-2567,European Journal of the History of Economic Thought,Economics,NA,2,1,NA,2,1,A,1.1,B,3,NA,0.4211990187189079,33,0.5067567567567568,NA
2046-9012,European Journal of Training and Development,"OS/OB,HRM/IR",NA,2,NA,NA,1,NA,NA,2.8,C,NA,NA,4.45582905308712,45,2.6859504132231407,NA
1359-432X,European Journal of Work and Organizational Psychology,"OS/OB,HRM/IR",B,2,4,S,3,1,B,5.7,A,3,B,1.044264340610733,132,4.681034482758621,B
0263-2373,European Management Journal,Gen & Strat,B,2,3,S,2,1,B,6.4,B,3,B,1.4436648194939854,153,7.4941176470588236,B
1740-4754,European Management Review,Gen & Strat,B,2,3,S,3,1,A,2.8,C,2,B,1.0711236641681667,66,3.2672413793103448,B
0965-4313,European Planning Studies,PSM,NA,2,NA,NA,2,1,NA,4.6,NA,4,NA,2.327405052197945,112,3.140468227424749,NA
0165-1587,European Review of Agricultural Economics,Economics,NA,2,2,NA,3,1,A,4.3,A,NA,NA,-0.4410335857942516,96,2.9555555555555557,NA
1361-4916,European Review of Economic History,Economics,NA,2,2,NA,3,1,A,1.6,A,NA,NA,-0.4410335857942516,62,1.36,NA
1356-3890,Evaluation,PSM,NA,2,3,NA,2,2,B,3.0,B,3,NA,0.9909474918825834,68,1.6097560975609757,NA
0193-841X,Evaluation Review,PSM,NA,2,NA,NA,NA,1,NA,3.1,A,NA,NA,0.20021530426989975,89,1.650943396226415,NA
1386-4157,Experimental Economics,Economics,A,2,1,NA,3,2,A,3.5,A*,NA,A,-3.211183912365574,96,2.3877551020408165,A
0266-4720,Expert Systems,"MIS, KM",NA,2,NA,NA,2,1,NA,3.4,NA,NA,NA,1.4286120202027055,63,3.4905008635578585,NA
0957-4174,Expert Systems with Applications,"MIS, KM",NA,2,3,NA,1,2,B,12.7,C,3,B,2.105921495181338,282,8.90968848242355,NA
0014-4983,Explorations in Economic History,Economics,NA,2,2,NA,3,1,A,2.9,A,NA,NA,-0.4410335857942516,89,2.890909090909091,NA
0894-4865,Family Business Review,"OS/OB,HRM/IR",B,2,2,S,3,1,A,9.7,A,2,B,-0.17954483151352177,162,8.517241379310345,B
0752-6180,Finance,F&A,NA,2,2,NA,1,NA,A,0.1,C,2,NA,1.4098913278705711,NA,NA,NA
0949-2984,Finance and Stochastics,F&A,B,2,3,S,3,2,A,3.6,A,2,B,-0.347495750309754,103,1.4680851063829787,B
1544-6123,Finance Research Letters,F&A,B,2,3,NA,2,1,B,5.3,A,3,B,0.7834087134859288,119,9.307359307359308,B
0267-4424,Financial Accountability and Management,F&A,C,2,3,S,3,2,B,2.8,A,3,B,0.5992102178568597,1,0.05319148936170213,C
0015-198X,Financial Analysts Journal,F&A,B,2,NA,S,3,2,A,3.3,A,2,B,-0.6318889082911585,156,4.533333333333333,B
0046-3892,Financial Management,F&A,B,2,2,P,3,2,A,2.9,A,2,B,-1.630918877120795,136,2.3125,B
1934-4554,Financial Markets and Portfolio Management,F&A,C,2,NA,NA,2,1,C,0.8,B,4,NA,2.655653652733625,37,1.6538461538461537,C
0963-8008,"Financial Markets, Institutions and Instruments",F&A,C,2,3,NA,3,1,B,0.9,B,3,NA,1.479275103588478,NA,NA,C
0732-8516,Financial Review,F&A,B/C,2,4,S,3,1,B,1.1,A,3,B,1.3166217029321161,NA,NA,C
0015-2218,FinanzArchiv,Economics,B,2,4,NA,1,1,C,0.6,B,NA,NA,2.3996053156084898,36,0.8571428571428571,B
0143-5671,Fiscal Studies,F&A,C,2,3,NA,2,1,B,2.4,B,NA,NA,2.166777063794092,74,3.1343283582089554,C
1936-6582,Flexible Services and Manufacturing Journal,"OR,MS,POM",B,2,3,NA,1,1,B,4.8,C,4,NA,2.6479348791309802,46,2.3580246913580245,B
0950-3293,Food Quality and Preference,Marketing,NA,2,NA,NA,NA,2,NA,8.4,A,NA,NA,-1.4630598306213616,165,5.457038391224863,NA
0016-3287,Futures,Innovation,NA,2,NA,NA,2,1,B,5.5,B,3,NA,1.6947257684526689,144,3.5524475524475525,NA
0899-8256,Games and Economic Behavior,Economics,NA,2,1,NA,3,2,A,2.2,A*,NA,NA,-2.4013956720081184,160,1.240677966101695,NA
0891-2432,Gender and Society,PSM,NA,2,NA,NA,3,2,NA,5.0,A*,3,B,-1.1605635038556166,NA,NA,NA
1754-2413,Gender in management,Gen & Strat,NA,2,NA,NA,1,1,NA,2.5,C,NA,NA,3.93493353556546,56,2.559322033898305,NA
0968-6673,"Gender, Work and Organization","OS/OB,HRM/IR",B,2,3,NA,3,2,B,3.3,A,2,B,-0.7889180145663875,103,3.658536585365854,B
1018-5895,Geneva Papers on Risk and Insurance: Issues and Practic,eEconomics,B,2,3,NA,2,1,B,2.0,B,3,NA,1.2482323706733096,NA,NA,B
1554-964X,Geneva Risk and Insurance Review,F&A,C,2,2,NA,2,1,B,1.7,B,3,NA,1.4560487005013465,22,0.9,C
1465-6485,German Economic Review,Economics,B,2,3,NA,2,1,B,1.7,B,4,NA,1.7232006332260421,56,1.4523809523809523,B
2397-0022,German Journal of HRM,HRM/IR,C,2,NA,NA,2,1,NA,NA,B,NA,NA,2.4119249291668887,NA,NA,C
1044-0283,Global Finance Journal,F&A,C,2,NA,NA,2,1,C,3.3,A,4,NA,2.12145502112339,60,6.5325443786982245,C
2042-5791,Global Strategy Journal,Gen & Strat,B,2,3,P,4,2,B,7.2,A,2,B,-1.610439590313305,64,4.152941176470589,B
0952-1895,Governance,PSM,A,2,3,NA,4,2,B,5.1,NA,3,B,-1.5286701351242662,112,2.5776699029126213,A
1059-6011,Group and Organization Management,"OS/OB,HRM/IR",B,2,3,S,3,2,A,5.1,A,2,B,-0.347495750309754,NA,NA,B
0926-2644,Group Decision and Negotiation,Gen & Strat,B,2,3,S,2,1,B,4.1,A,3,B,1.023785053803243,80,3.532608695652174,B
1089-2699,Group Dynamics,Gen & Strat,NA,2,3,NA,2,1,B,2.0,B,3,NA,1.648515128140173,85,1.3833333333333333,NA
0017-4815,Growth and Change,Sociology,NA,2,3,NA,2,1,B,2.2,B,4,NA,2.2499268487054107,79,2.7198067632850242,NA
0017-8012,Harvard Business Review,Gen & Strat,C,1,NA,P*,3,1,A,2.8,A,2,B,-1.973558405841707,187,1.4545454545454546,C
0966-0410,Health and Social Care in the Community,PSM,NA,2,NA,NA,2,1,NA,3.5,NA,NA,NA,1.4286120202027055,NA,NA,NA
1386-9620,Health Care Management Science,"MIS, KM",A,2,4,S,2,1,B,4.6,B,3,NA,1.3098590591514228,77,2.711340206185567,A
1057-9230,Health Economics (United Kingdom),Economics,A,2,1,NA,3,2,A,4.6,A*,NA,B,-3.211183912365574,NA,NA,A
0168-8510,Health Policy,Economics,B,2,2,NA,2,2,A,4.3,A,2,B,-0.8121444176535191,137,4.051630434782608,B
0957-4824,Health Promotion International,Marketing,NA,2,NA,NA,NA,1,NA,3.5,A,NA,NA,0.20021530426989975,123,2.6397984886649875,NA
0951-4848,Health Services Management Research,PSM,C,2,4,NA,1,1,C,2.5,C,4,NA,3.8220251925683955,43,1.6666666666666667,C
0018-1560,Higher Education,Education,C,2,NA,NA,2,2,NA,6.3,NA,NA,NA,1.2520071703172682,NA,NA,C
0951-5224,Higher Education Quarterly,PSM,NA,2,NA,NA,2,1,NA,3.4,C,NA,NA,2.8131292151190883,64,2.685483870967742,NA
0018-2702,History of Political Economy,Economics,NA,2,1,NA,2,2,A,1.5,A,NA,NA,-1.269645961762196,65,0.5231788079470199,NA
0360-3989,Human Communication Research,Comm,NA,2,NA,NA,NA,2,NA,7.4,A,NA,NA,-1.4630598306213616,148,4.5423728813559325,NA
1547-8181,Human Factors,"OS/OB,HRM/IR",NA,2,NA,NA,3,1,NA,6.2,NA,NA,NA,-0.1011352450914568,184,2.857707509881423,NA
0018-7259,Human Organization,"OS/OB,HRM/IR",NA,2,NA,NA,2,2,NA,1.3,NA,NA,NA,0.12734571198161818,91,0.475,NA
0895-9285,Human Performance,"OS/OB,HRM/IR",B,2,NA,NA,3,1,B,2.5,A,3,B,0.09897027407266819,96,3.1470588235294117,B
0018-7267,Human Relations,"OS/OB,HRM/IR",B,1,2,P,4,2,A,7.1,A*,1,A,-3.914309761402189,228,4.265060240963855,B
1044-8004,Human Resource Development Quarterly,"OS/OB,HRM/IR",NA,2,NA,NA,2,1,NA,4.7,B,4,NA,2.498117307271877,96,2.925925925925926,NA
0090-4848,Human Resource Management,"OS/OB,HRM/IR",B,1,2,P,4,2,A,7.4,A*,1,A,-3.914309761402189,NA,NA,B
0954-5395,Human Resource Management Journal,"OS/OB,HRM/IR",B,2,3,S,4*,2,A,7.8,A,2,B,-1.1283551052951815,113,4.936619718309859,B
1053-4822,Human Resource Management Review,"OS/OB,HRM/IR",B,2,3,P,3,2,A,11.0,A,2,B,-1.2200099128205912,140,7.666666666666667,B
0199-8986,Human Resource Planning,"OS/OB,HRM/IR",NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,2.9201111041465104,38,0,NA
0737-0024,Human-Computer Interaction,"MIS, KM",C,2,NA,NA,1,2,NA,8.9,A,NA,B,1.6369071756415872,113,3.5208333333333335,C
0018-8670,IBM Systems Journal,"MIS, KM",C,2,NA,NA,NA,NA,NA,NA,A,NA,NA,1.766955366042532,118,0,C
1541-1672,IEEE Intelligent Systems,"MIS, KM",NA,2,NA,NA,NA,2,NA,9.0,NA,NA,NA,-2.2161493440020767,134,3.0953947368421053,NA
0018-9286,IEEE Transactions on Automatic Control,"MIS, KM",NA,2,NA,NA,NA,2,NA,12.9,NA,NA,NA,-2.2161493440020767,445,6.011251758087201,NA
1558-0040,IEEE Transactions on Engineering Management,"OR,MS,POM",B,2,3,P,3,1,A,4.3,A,2,B,-0.6411500297241554,135,4.134426229508197,B
1524-9050,IEEE Transactions on Intelligent Transportation Systems,"OR,MS,POM",NA,2,NA,S,NA,2,NA,13.5,A,NA,B,0.2256606816976062,211,8.830309498399146,NA
1041-4347,IEEE Transactions on Knowledge and Data Engineering,"MIS, KM",NA,2,NA,P,NA,2,A,13.3,NA,2,NA,-2.300957979081617,232,7.998048780487805,NA
0098-5589,IEEE Transactions on Software Engineering,"MIS, KM",B,2,NA,NA,NA,2,A,14.9,NA,2,NA,-1.2923224551211725,300,4.266265060240964,B
0740-817X,IIE Transactions (Institute of Industrial Engineers),"MIS, KM",A,2,NA,P,3,1,NA,NA,A,NA,B,-1.8099127162283368,NA,NA,A
0019-7939,ILR Review,"OS/OB,HRM/IR",A/B,2,2,NA,3,2,A,5.6,A*,2,A,-2.096381996622952,NA,NA,B
2041-4161,IMF Economic Review,Economics,NA,2,3,NA,3,1,NA,3.3,A,NA,NA,0.3656173722261425,63,3.972972972972973,NA
0960-6491,Industrial and Corporate Change,Economics,B,2,1,P,3,2,A,4.2,A,2,B,-2.0418278414209987,167,3.464788732394366,B
0263-5577,Industrial Management and Data Systems,"OR,MS,POM",C,2,3,NA,2,1,B,7.1,A,3,B,1.4743620351186546,NA,NA,C
0019-8501,Industrial Marketing Management,Marketing,B,2,2,S,3,2,A,8.8,A*,2,A,-1.1782844803007002,209,7.739039665970773,B
0019-8676,Industrial Relations,"OS/OB,HRM/IR",NA,2,1,P,4,2,A,2.9,A*,1,A,-3.687612221120675,98,1.9206349206349207,NA
0019-8692,Industrial Relations Journal,"OS/OB,HRM/IR",NA,2,NA,NA,3,1,NA,0.5,A,NA,B,-0.09165427378965854,62,1.6629213483146068,NA
1366-2716,Industry and Innovation,Innovation,B,2,3,S,3,2,B,5.9,B,3,B,0.47437525890483595,83,3.2738095238095237,B
0378-7206,Information and Management,"MIS, KM",B,2,2,P,3,2,A,12.3,A*,2,A,-2.0507986428115372,NA,NA,B
1471-7727,Information and Organization,F&A,B,2,2,NA,3,2,A,9.7,A*,2,A,-1.7368786635584572,74,5.434782608695652,B
0950-5849,Information and Software Technology,"MIS, KM",NA,2,NA,NA,NA,2,NA,8.6,A,NA,NA,-1.4630598306213616,142,4.858381502890174,NA
0167-6245,Information Economics and Policy,Economics,NA,2,2,NA,2,1,A,3.6,A,NA,NA,0.32963477099179983,77,4.803030303030303,NA
0306-4573,Information Processing and Management,"MIS, KM",NA,2,NA,S,2,2,NA,8.6,B,NA,B,1.3090990357668981,NA,NA,NA
0020-0190,Information Processing Letters,"MIS, KM",NA,2,NA,NA,NA,2,NA,2.3,C,NA,NA,1.3183097875329497,138,0.6257668711656442,NA
1040-1628,Information Resources Management Journal,"MIS, KM",D,2,NA,NA,1,1,NA,1.6,C,NA,NA,5.031977604347968,54,0.8191489361702128,D
0197-2243,Information Society,"MIS, KM",NA,2,NA,NA,3,2,NA,4.8,A,NA,B,-1.1644733243320575,NA,NA,NA
0306-4379,Information Systems,"MIS, KM",B,2,NA,NA,NA,2,NA,7.3,NA,NA,NA,-1.0759515388994065,112,3.6907630522088355,B
1387-3326,Information Systems Frontiers,"MIS, KM",B,2,NA,NA,3,1,B,8.5,A,3,B,0.09897027407266819,95,8.422794117647058,B
1350-1917,Information Systems Journal,"MIS, KM",A,2,2,S,4,2,A,12.3,A*,1,A,-2.5154201259600275,NA,NA,A
1058-0530,Information Systems Management,"MIS, KM",C,2,NA,NA,2,2,NA,3.4,B,NA,NA,1.5470198503116857,81,2.42,C
1047-7047,Information Systems Research,"MIS, KM",A+,1,1,P*,4*,2,A,7.3,A*,1*,A+,-6.3709688149385215,217,4.133079847908745,A+
1385-951X,Information Technology and Management,"MIS, KM",C,2,NA,NA,1,1,NA,4.3,B,4,NA,3.2224780412435017,58,2.796875,C
0959-3845,Information Technology and People,"MIS, KM",NA,2,3,NA,3,2,B,4.4,A,3,B,-0.12402651141617217,NA,NA,NA
0167-6687,Insurance: Mathematics and Economics,"MIS, KM",B,2,3,NA,3,2,B,2.7,A*,3,B,-0.778773409201036,NA,NA,B
0092-2102,Interfaces,"OR,MS,POM",B,2,NA,P,2,1,NA,1.6,B,3,NA,0.4355454115200927,NA,NA,B
1091-9856,Interfaces (formerly INFORMS Journal on Computing),"OR,MS,POM",A,2,NA,NA,NA,2,NA,NA,B,NA,NA,-2.0608067783056145,NA,NA,A
0969-5931,International Business Review,IB,B,2,2,S,3,2,A,8.9,A,2,B,-0.7584047146099576,146,6.5,B
0020-6598,International Economic Review,Economics,B,2,1,NA,4,2,A,2.6,A*,1,NA,-3.1718727244383205,189,1.6641221374045803,B
0020-7063,International Journal of Accounting,F&A,B,2,3,NA,3,1,B,3.4,A,3,B,0.32349812476837136,NA,NA,B
1094-4060,International Journal of Accounting Information Systems,F&A,C,2,NA,NA,2,1,NA,6.4,A,4,B,2.12145502112339,77,5.148936170212766,C
0265-0487,International Journal of Advertising,Marketing,C,2,3,NA,2,2,B,6.2,A,3,B,0.8369141583366285,99,5.6891891891891895,C
1090-6738,International Journal of Auditing,F&A,B,2,3,NA,2,1,B,2.7,A,3,NA,0.7834087134859288,64,1.7340425531914894,B
0265-2323,International Journal of Bank Marketing,Marketing,D,2,4,NA,1,1,C,6.2,A,4,NA,3.5833311998263593,128,7.691780821917808,D
2329-4884,International Journal of Business Communication,Comm,NA,2,NA,NA,NA,1,NA,NA,C,NA,NA,2.9815849224242115,39,3.4754098360655736,NA
1368-4892,International Journal of Business Performance Manageme,nGen & Strat,D,2,NA,NA,1,1,NA,1.2,NA,NA,NA,4.579553785087469,NA,NA,D
1815-4654,International Journal of Central Banking,Economics,NA,2,3,NA,3,1,B,2.4,A,NA,NA,0.3656173722261425,51,3.1875,NA
0951-192X,International Journal of Computer Integrated Manufacturin,"MIS, KM",NA,2,NA,NA,2,1,NA,6.4,B,NA,NA,1.9216396308879002,NA,NA,NA
1044-4068,International Journal of Conflict Management,Gen & Strat,NA,2,NA,NA,2,1,NA,2.8,A,NA,NA,1.0301500466567126,2,0.6666666666666666,NA
0959-6119,International Journal of Contemporary Hospitality Manage,mTourism,NA,2,3,NA,3,1,B,9.3,A,NA,NA,0.3656173722261425,NA,NA,NA
1470-5958,International Journal of Cross Cultural Management,"OS/OB,HRM/IR",C,2,4,NA,1,1,C,2.1,B,4,NA,3.357201535381014,66,2.203125,C
1086-4415,International Journal of Electronic Commerce,"MIS, KM",B,2,2,P,3,1,A,6.0,A,2,B,-1.052058994024359,105,3.411764705882353,B
1039-6993,International Journal of Employment Studies,"OS/OB,HRM/IR",NA,2,NA,NA,1,1,NA,NA,C,NA,NA,3.93493353556546,11,0,NA
1355-2554,International Journal of Entrepreneurial Behaviour and Re,sEntrep,C,2,4,NA,3,1,B,6.2,B,3,NA,1.9624120953931667,NA,NA,C
1465-7503,International Journal of Entrepreneurship and Innovation,Entrep,C,2,4,NA,2,1,C,3.1,C,4,NA,3.362114603850838,47,2.2142857142857144,C
1076-9307,International Journal of Finance and Economics,F&A,NA,2,3,NA,3,1,B,2.1,B,3,NA,1.0556325162783142,NA,NA,NA
0169-2070,International Journal of Forecasting,Economics,C,2,2,NA,3,2,A,5.4,A,3,B,-0.10613342218561785,168,7.851851851851852,C
0020-7276,International Journal of Game Theory,Economics,A,2,2,NA,2,1,A,1.2,A,NA,NA,-0.8013599834262943,93,0.5625,A
0278-4319,International Journal of Hospitality Management,Tourism,NA,2,NA,NA,3,1,B,9.4,A*,3,NA,-0.3672161833348736,191,11.041666666666666,NA
1071-5819,International Journal of Human Computer Studies,"OR,MS,POM",NA,2,3,S,2,2,B,8.0,B,4,B,1.725572520789417,NA,NA,NA
0958-5192,International Journal of Human Resource Management,"OS/OB,",B,2,3,S,3,2,A,6.9,A,2,B,-0.347495750309754,170,6.074235807860262,B
0167-7187,International Journal of Industrial Organization,"OS/OB,HRM/IR",B,2,1,P,3,2,A,2.6,A,NA,B,-2.087348133932393,144,1.7086614173228347,B
0268-4012,International Journal of Information Management,"MIS, KM",C,2,3,S,2,2,A,18.1,A*,3,B,0.5697601296588309,200,21.51953125,C
1363-9196,International Journal of Innovation Management,Innovation,B,2,4,NA,2,1,C,3.3,NA,4,NA,2.236456772578591,76,0.9774011299435028,B
0147-1767,International Journal of Intercultural Relations,"OS/OB,HRM/IR",NA,2,NA,NA,1,1,NA,3.6,A,4,NA,2.5988235614393838,150,2.8405797101449277,NA
0957-4093,International Journal of Logistics Management,"OR,MS,POM",C,2,3,NA,1,1,B,7.6,A,3,B,1.934272623836212,NA,NA,C
1367-5567,International Journal of Logistics Research and Application,"OR,MS,POM",C,2,3,NA,1,1,B,5.4,B,3,NA,2.3990962810235925,NA,NA,C
1460-8545,International Journal of Management Reviews,Gen & Strat,B,2,2,NA,3,2,A,20.8,A,2,B,-1.2720550063710765,152,7.127906976744186,B
1743-9132,International Journal of Managerial Finance,F&A,NA,2,NA,NA,2,1,NA,2.5,A,NA,NA,1.0301500466567126,41,1.9166666666666667,NA
0143-7720,International Journal of Manpower,"OS/OB,HRM/IR",C,2,3,NA,2,1,B,2.3,A,3,NA,1.4743620351186546,96,5.370588235294117,C
1470-7853,International Journal of Market Research,Marketing,D,2,4,NA,2,1,B,2.1,A,3,NA,2.648452348556069,69,3.976470588235294,D
0144-3577,International Journal of Operations and Production Manag,"OR,MS,POM",B,2,2,P,4,2,A,10.7,A,1,A,-2.423339798137356,NA,NA,B
