,paper_abbrev,research_link,source,source_main,author_permission,publication_status,topic_subfield,secondary_cause_cat,author,author_comments_responses_ds,"""Link manager notes to evaluators""",submitter_name,stream,"""Endorse suggester's discussion""",endorse_assessor_ discussion_MV_PRIOR,working_paper_release_date,"'Comment below, and please put your initials next to the comment you are making'",public_why_relevant_impactful_ds,public_what_aspects_to_evaluate_ds,public_what_sort_of_evaluators_ds,author_engagement_public_ds,"""Post-prioritization PRIVATE discussion: Choice of Evaluation Manager (NOT shared)""","""Post-prioritization PRIVATE discussion: Choice of *evaluators* (NOT shared)""","""Any other discussion""",doi,will_authors_engage_discuss,all_authors_names,suggester_other_comments_MV_PRIOR,n_eval_invites_sent_process,XDR-??- Days since Eval Mngr. Chosen,evals_complete_date_process,"""EM: How strong was evaluation 1? (rate as a percentile, discuss; private)""","""EM: How strong was evaluation 2 (rate as a percentile, discuss; private)""",management_discuss,main_cause_cat,label_paper_title,status,eval_manager,"""Other discussants _MV_PRIOR""",paper_category_old,evals_sent_to_authors_process,'Open discussion',next_step_to_do_process,rsx_prioritization_link,events_link,status_modified_ps,"""Link to evaluations""",rating_suggester_view,rating_assessor_view,avg_rating_view,eval_mgr_suggestions_link,"""Evaluation manager's summary""",paper_authors_link,alternate_title,rsx_events_link,check_in_date_process,drx_??_relevance_rating_MV_PRIOR,n_of_evaluators _accepted_process,n_of_evaluations_returned_process,Events,DR_X_N of Eval. invites Sent,DR_X_Invites accepted
50,,https://www.nber.org/papers/w26651,NBER work (https://www.nber.org/papers) cited by EA orgs (describe which orgs),internal-NBER,,"Published, ~top journal","Development and Growth,Policy",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other: Economics/welfare, growth, policy, global markets and population",The end of economic growth? Unintended consequences of a declining population,01_Needs prioritization/assessor rating,,,,,,,The end of economic growth? Unintended consequences of a declining population,,2024-04-12T07:27:20.597-04:00,,,,"{""specialValue"":""NaN""}",The end of economic growth? Unintended consequences of a declining population,,The end of economic growth? Unintended consequences of a declining population,,"The end of economic growth? Unintended consequences of a declining population,The end of economic growth? Unintended consequences of a declining population,The end of economic growth? Unintended consequences of a declining population",,,,,,,
51,,https://www.aeaweb.org/articles?id=10.1257/app.6.4.1,Surveys the Unjournal ran on the EA Forum (and related places),suggested - externally,,"Published, ~top journal",,Global health; “Health & well-being in low-income countries”,,,,,,,,,,,,,,,,,,,,,,,,,,,Economic development & governance (LMICs),Should Aid Reward Performance? Evidence from a Field Experiment on Health and Education in Indonesia,01_Needs prioritization/assessor rating,,,GH&D,,,,Should Aid Reward Performance? Evidence from a Field Experiment on Health and Education in Indonesia,,2024-04-12T07:27:20.597-04:00,,55%,,55%,Should Aid Reward Performance? Evidence from a Field Experiment on Health and Education in Indonesia,,Should Aid Reward Performance? Evidence from a Field Experiment on Health and Education in Indonesia,,"Should Aid Reward Performance? Evidence from a Field Experiment on Health and Education in Indonesia,Should Aid Reward Performance? Evidence from a Field Experiment on Health and Education in Indonesia,Should Aid Reward Performance? Evidence from a Field Experiment on Health and Education in Indonesia",,,,,,,
52,,https://arxiv.org/abs/2307.03718,,,,Working paper/mimeo; not published in a peer-reviewed journal,AI Alignment,,,,,,,,,2023-11-07T00:00:00.000-05:00,,,,,,,,,https://doi.org/10.48550/arXiv.2307.03718,"Yes, it seems likely (they seem supportive, we have connections etc.)",,,,,,,,,Emerging technologies: social and economic impacts (focus: AI),Frontier AI Regulation,deprioritized -- low ratings,,,"EA-identified researcher,long-term-relevant ,working paper,prominent,Artificial intelligence",,,,Frontier AI Regulation,,2024-04-12T07:27:20.597-04:00,,75%,35%,55%,Frontier AI Regulation,,Frontier AI Regulation,,"Frontier AI Regulation,Frontier AI Regulation,Frontier AI Regulation",,,,,,,
53,AI and econ. growth,https://www.nber.org/papers/w23928,"Rhys-Bernard syllabus,NBER (https://www.nber.org/papers) monitor new work, search earlier work (relevant keywords and subjects)",internal-from-syllabus-agenda-policy-database,agreed,"Published, uncertain peer review","Development and Growth,Innovation and R&D,Policy","Other: Economics/welfare, growth, policy, global markets and population",,,,,,,,,,,,,,,,,,,,,,52 days,,,,"AI risk and LT growth people care about this a lot. These are top prominent people but the paper is still not (?) prominently published --> it was put into a book chapter, which probably is not given strong peer review, if any
Charles has spoken at GPI.
Not a typical econ article. Key questions  like ‘are we including AI as labor or K’? But who would review them?  Michael Wolfson",Emerging technologies: social and economic impacts (focus: AI),Artificial Intelligence and Economic Growth,"50_published evaluations (on PubPub, by Unjournal)",David Reinstein,,"macroeconomics,Artificial intelligence,prominent",,,,Artificial Intelligence and Economic Growth,,2024-04-12T07:27:20.597-04:00,,,,85%,Artificial Intelligence and Economic Growth,,Artificial Intelligence and Economic Growth,,"Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth",,,,,,,
54,,,,suggested - internally,,,,,,,,,niche academic,,,,,,,,,,,,,,,,,,,,,,"Other: Economics/welfare, growth, policy, global markets and population",Quadratic Funding with Incomplete Information,deprioritized -- low ratings,,,,,,,Quadratic Funding with Incomplete Information,,2024-04-12T07:27:20.597-04:00,,,30%,42%,Quadratic Funding with Incomplete Information,,Quadratic Funding with Incomplete Information,,"Quadratic Funding with Incomplete Information,Quadratic Funding with Incomplete Information,Quadratic Funding with Incomplete Information",,,,,,,
55,,nber.org/papers/w24449,NBER supplementary search - animals etc,internal-NBER,not needed (Unjournal Direct),book chapter,"Industrial Organization,Market Structure and Firm Performance","Innovation, meta-science, and research",,,,,,,Gavin Taylor,,,,,,,,,,,,,,,,,,,DR: Somewhat of a survey but it seems important enough to the discussion of AI risk in progress that it merits a review,Emerging technologies: social and economic impacts (focus: AI),The Impact of Artificial Intelligence on Innovation,deprioritized -- low ratings,,,,,,,The Impact of Artificial Intelligence on Innovation,,2024-04-12T07:27:20.597-04:00,,,30%,44%,The Impact of Artificial Intelligence on Innovation,,The Impact of Artificial Intelligence on Innovation,,"The Impact of Artificial Intelligence on Innovation,The Impact of Artificial Intelligence on Innovation,The Impact of Artificial Intelligence on Innovation",,,,,,,
56,Saving for a lean Season,https://www.dropbox.com/s/u3zah3pxm9vtnm0/Saving%20for%20a%20lean%20Season.pdf?dl=0,Kotahi Submission,submitted (by author(s)),Denied (probably),,,Global health; “Health & well-being in low-income countries”,,First Author: Abu Shonchoy,,,,,,,,,,,,,,,,,,,,,,,,"Missing a lot of information from this submission eg abstract, previously published? Asks for a ‘private review’ but does not provide a reason. DR: It seems interesting and relevant but I’m concerned that they want a private evaluation. @Annabel Rayner can you reach out to them? If they are willing to have a public evaluation, perhaps with a timed conditional embargo (say, an embargo for up to 18 months unless they are happy with the evaluation), it might be worth considering.
Also, why don’t they put this on a WP archive? Can you ask if they are willing to do so?
Update: I now see it posted publicly, linked to an award/conference",Economic development & governance (LMICs),Saving for a lean Season,authors rejected/blocked us,,,economics,,,,Saving for a lean Season,,2024-04-12T07:27:20.597-04:00,,,80%,69%,Saving for a lean Season,,Saving for a lean Season,,"Saving for a lean Season,Saving for a lean Season,Saving for a lean Season",,,,,,,
57,AI-tocracy,https://www.nber.org/papers/w29466,NBER supplementary search - animals etc,internal-NBER,,"Published, ~top journal","Industrial Organization,Development and Growth,Innovation and R&D,Economic Systems,Policy","International cooperation and conflict, behavior of large governments; authoritarianism",,,,,,,,,,,,,,,,,,,,,,,,,,"At a glance, at least somewhat empirical and seems potentially credible. Possibly important both to AI risk and risk from autocratic totalitarian regimes","Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",AI-tocracy,02_final consideration needed,,,,,,,AI-tocracy,,2024-04-12T07:27:20.597-04:00,,75%,90%,63%,AI-tocracy,,AI-tocracy,,"AI-tocracy,AI-tocracy,AI-tocracy",2024-06-11T00:00:00.000-04:00,,,,,,
58,"AI, prod. paradox",https://www.nber.org/papers/w24001,NBER work (https://www.nber.org/papers) cited by EA orgs (describe which orgs),internal-NBER,not needed (Unjournal Direct),,"Development and Growth,Microeconomics,Innovation and R&D,Policy","Other: Economics/welfare, growth, policy, global markets and population",,,,,,,,,,,,,,,,,,,,,,,,,,"[Who wrote this]: 70% Erik is loosely associated with GP/EA stuff. I like the idea of seeing if we’re dramatically understating the importance of AI due to the GDP calculations, which may shift our attention to it more if we correct for these.
DR: Blah blah",Emerging technologies: social and economic impacts (focus: AI),Artificial Intelligence and the Modern Productivity Paradox: A Clash of Expectations and Statistics,deprioritized -- low ratings,,,Artificial intelligence,,,,Artificial Intelligence and the Modern Productivity Paradox: A Clash of Expectations and Statistics,,2024-04-12T07:27:20.597-04:00,,80%,35%,45%,Artificial Intelligence and the Modern Productivity Paradox: A Clash of Expectations and Statistics,,Artificial Intelligence and the Modern Productivity Paradox: A Clash of Expectations and Statistics,,"Artificial Intelligence and the Modern Productivity Paradox: A Clash of Expectations and Statistics,Artificial Intelligence and the Modern Productivity Paradox: A Clash of Expectations and Statistics,Artificial Intelligence and the Modern Productivity Paradox: A Clash of Expectations and Statistics",,,,,,,
59,,https://www.nature.com/articles/s41586-023-06840-9,,,not needed (Unjournal Direct),"Published, ~top journal","Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.),attitudes/behavioral","Communicable diseases, bio-security and pandemic preparedness, biological risks",,,,,,,,,,,,,,,,,,,,,,,,,,,"Innovation, meta-science, and research",A synthesis of evidence for policy from behavioural science during COVID-19,01_Needs prioritization/assessor rating,,,,,,,A synthesis of evidence for policy from behavioural science during COVID-19,,2024-04-12T07:27:20.597-04:00,,70%,50%,70%,A synthesis of evidence for policy from behavioural science during COVID-19,,A synthesis of evidence for policy from behavioural science during COVID-19,,"A synthesis of evidence for policy from behavioural science during COVID-19,A synthesis of evidence for policy from behavioural science during COVID-19,A synthesis of evidence for policy from behavioural science during COVID-19",,,,,,,
60,,https://www.nber.org/papers/w31313,"NBER (https://www.nber.org/papers) monitor new work, search earlier work (relevant keywords and subjects)",internal-NBER,,"Published, uncertain peer review",,"Catastrophic and existential risks,  the long-term future, forecasting",,,,,,,,,,,,,,,,,,,,,,,,,,"This is interesting, it’s focused on chemistry labs so not directly global priorities relevant in itself, but it would provide a good model for doing case studies on changes in biosafety protocols
MW: The model could be useful in providing a foundation for studying biosafety. It sounds like the policy change was a big change, but the null result is also consistent with a small treatment dose (or low statistical power).","Innovation, meta-science, and research",Laboratory Safety and Research Productivity,02_final consideration needed,,Michael Wiebe,,,,,Laboratory Safety and Research Productivity,,2024-04-12T07:27:20.597-04:00,,,50%,57%,Laboratory Safety and Research Productivity,,Laboratory Safety and Research Productivity,,"Laboratory Safety and Research Productivity,Laboratory Safety and Research Productivity,Laboratory Safety and Research Productivity",,,,,,,
61,Nonprofit Govc.: Randomized healthcare DRC,https://www.nber.org/system/files/working_papers/w30391/w30391.pdf,NBER,internal-NBER,,,"Health, Education, and Welfare,Education,Development and Growth,Development/Development Economics,Health Policy/Health economics",Economic development & governance (LMICs),,,,,,,,,,,,,,,,,,,,,,78 days,,,,"DR: This seems very strong and very important. IIRC I’ve also seen it discussed by some global priorities people.
DR  18 Mar 2023: NB, this paper is now listed as “Fangwa A, Flammer C, Huysentruyt M, Quelin B. 2023. The Governance of Non-Profits and their Social Impact: Evidence from a Randomized Program in Healthcare in the Democratic Republic of Congo,
Management Science, forthcoming.” on one of the authors’ web sites. Let’s continue to ask Wayne to evaluate this, but maybe not look for another evaluator? I’m thinking about what makes sense here",Global health; “Health & well-being in low-income countries”,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,"50_published evaluations (on PubPub, by Unjournal)",Tanya O’Garra,,GH&D,,,,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,,2024-04-12T07:27:20.597-04:00,,75%,,79%,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,,"The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC",,,,,,,
62,,https://www.happierlivesinstitute.org/wp-content/uploads/2022/04/Donating-money-buying-happiness.pdf,Surveys the Unjournal ran on the EA Forum (and related places),suggested - externally,,Working paper/mimeo; not published in a peer-reviewed journal,,"Other: Economics/welfare, growth, policy, global markets and population,Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",,,,,nonacademic/policy stream,,,,,,,,,,,,,,,,,,,,,Maybe for non-academic track?,Economic development & governance (LMICs),"Donating money, buying happiness",02_final consideration needed,,,"GH&D,meta-analysis",,,,"Donating money, buying happiness",,2024-05-28T17:57:24.450-04:00,,55%,75%,62%,"Donating money, buying happiness",,"Donating money, buying happiness",,,,,,,,,
63,Effects of emig. on rural labor mkts.,"https://www.nber.org/papers/w23929#:~:text=Emigration%20could%20benefit%20landless%20village,productivity%20if%20skilled%20workers%20leave",NBER work (https://www.nber.org/papers) cited by EA orgs (describe which orgs),internal-NBER,not needed (Unjournal Direct),Working paper/mimeo; not published in a peer-reviewed journal,"Development/Development Economics,Development and Growth,Regional and Urban Economics,Migration","Other: Economics/welfare, growth, policy, global markets and population",,,,,,,,,,,,,,,"Emmanuel Orkoh I’m not sure these two evaluations have captured the value we want. Thinking about whether to commission a third evaluator. 
Searching for some possibilities: 
Lagakos COI
Harris Selod → Invited
S Baird, D McKenzie, B Özler — their ‘effect of cash transfers’ paper cites this
Mckenzie seems promising → Invited → Rejected, suggested other work is more relevant
",,,,,,3,22 days,,"David Reinstein quick thoughts 
This seems like a somewhat substantive evaluation. I don’t think it digs into the methods or the fundamental cost-benefit calculation relevant questions as much as I’d like. They also provided meaningful ratings numbers.   
I’m not sure if the substantive comments/critiques make sense (I could look deeper, although this is not my area of expertise). They emphasize the value of decomposition and an explicit counterfactual model, and incorporating variables that cover individual characteristics (gender, education age) — are these really important in this RCT setting? 

There is also at least one thing that he should clarify: We asked “Approximately how long did you spend completing this evaluation?” ... and he responded “45 minutes”. 
We intended this question to mean ‘how much time did you spend reading the paper, considering it, writing up your concerns, considering our ratings, etc.’ The whole thing. I’m guessing he just meant it took 45 minutes to fill out the form — should we ask him to clarify? (And perhaps I should reword this question).","David Reinstein quick thoughts 
This seems like a somewhat substantive evaluation. I don’t think it digs into the methods or the fundamental cost-benefit calculation relevant questions as much as I’d like. They also provided meaningful ratings numbers.   
I’m not sure if the substantive comments/critiques make sense (I could look deeper, although this is not my area of expertise). They emphasize the value of decomposition and an explicit counterfactual model, and incorporating variables that cover individual characteristics (gender, education age) — are these really important in this RCT setting? 

There is also at least one thing that he should clarify: We asked “Approximately how long did you spend completing this evaluation?” ... and he responded “45 minutes”. 
We intended this question to mean ‘how much time did you spend reading the paper, considering it, writing up your concerns, considering our ratings, etc.’ The whole thing. I’m guessing he just meant it took 45 minutes to fill out the form — should we ask him to clarify? (And perhaps I should reword this question).","See Gdoc discussion here
IIRC the seasonal labour migration is generally accepted to not scale very well, so Givewell might not find much value in extra evaluation.
DR: @Gavin Taylor it still might be worth exploring further: 1. as a general issue, 2. because the NLS ‘failure’ (as stated by Givewell: https://blog.givewell.org/2019/06/06/evidence-action-is-shutting-down-no-lean-season/#2017Study)  seemed to be largely about management issues and evidence that it didn’t actually lead to net emigration … but effects of emigration (if it indeed could be influenced) could still be  helpful to know  3. to understand ‘why it failed’ if so.  We don’t want to ‘overlearn’ or learn the wrong lessons.

The authors here (quick look) seem to claim the transportation subsidies they offered had an impact on migration. Could be useful to better understand the discrepancy, if there is one.
That said, I’m thinking this paper is probably not up-to-date so maybe. worth waiting to see if something else comes out
@david reinstein yeah, I didn’t check if the authors had any newer publications on the intervention. The senior author (Mobarak) does have other publications on migration (some in NBER), could be worth reaching out to see if he would be interested in having work evaluated and could suggest the most relevant
https://scholar.google.com/citations?hl=en&user=KRXr5_oAAAAJ&view_op=list_works&sortby=pubdate

Tangentially, I liked this comment that Mobarak wrote recently about the difficulties of scaling up interventions (basically based on his experience with the seasonal labour migration RCTs)
https://www.nature.com/articles/d41586-022-03039-2
@Emmanuel Orkoh added it again in June 2023, noting “I think this paper has high policy potential but I need your quick thoughts”
Moving comment discussion from Airtable version
emailed all authors in Feb 2024, none responded
evaluators had trouble accessing the form (because they had an older/stale link) ... resolved wither with new link or Gdoc
Emmanuel “As you are aware, we have received one report from Professor Sackey and we are still waiting for the report from Professor Camara Obeng. While waiting to hear from Prof. Obeng, I will go ahead with the review of Prof Sackey’s report”
DR: Emmanuel Orkoh 
we now have 2 reports, 
I’m waiting for you to consider if these are complete and contact the evaluators for further followup otherwise 
Note we now have the fields at the bottom of the Coda space to evaluate the evaluations
 I don’t hear from you by Monday I’ll push forward on this myself ... need to progress

Michael Wiebe I flagged you with a comment in the connected Google Doc. I could use your help on this (and we can compensate your time, get in touch?)",Economic development & governance (LMICs),Effects of Emigration on Rural Labor Markets,"50_published evaluations (on PubPub, by Unjournal)","Emmanuel Orkoh,David Reinstein",,GH&D,,,"Authors said they are putting out an updated version and will respond then. We are making the evaluation public in the interim, but not promoting it heavily. ",Effects of Emigration on Rural Labor Markets,"First evaluation submitted,Contacted authors for response to evaluations",2024-06-26T12:49:05.731-04:00,,58%,90%,73%,Effects of Emigration on Rural Labor Markets,,Effects of Emigration on Rural Labor Markets,,"Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets",2024-06-28T00:00:00.000-04:00,,,,"First evaluation submitted,Contacted authors for response to evaluations",3,2
64,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4579773,field specialist suggested,suggested - internally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DR: This looks potentially valuable, but I would suggest that it is probably outside of our current scope/approach.
It seems to mainly be legal scholarship/discussion (rather than something quantitative/econ/social science)
It’s a lit review/survey … which can be harder to get a clear evaluation and rating of; or at least our rating templates are probably not geared for this?
But I’m happy to be convinced otherwise.","Catastrophic and existential risks,  the long-term future, forecasting","International AI Institutions: A Literature Review of Models, Examples, and Proposals",deprioritized -- low ratings,,,Artificial intelligence,,,,"International AI Institutions: A Literature Review of Models, Examples, and Proposals",,2024-04-12T07:27:20.597-04:00,,,,40%,"International AI Institutions: A Literature Review of Models, Examples, and Proposals",,"International AI Institutions: A Literature Review of Models, Examples, and Proposals",,,,,,,,,
65,,https://www.nber.org/papers/w31112,"NBER (https://www.nber.org/papers) monitor new work, search earlier work (relevant keywords and subjects)",internal-NBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Environment: Harm to human health, biodiversity, risks and climate change","Policies, Projections, and the Social Cost of Carbon: Results from the DICE-2023 Model",02_final consideration needed,,,,,,,,,2024-04-12T07:27:20.597-04:00,,,,,"Policies, Projections, and the Social Cost of Carbon: Results from the DICE-2023 Model",,"Policies, Projections, and the Social Cost of Carbon: Results from the DICE-2023 Model",,,,,,,,,
66,"Water treatment, child mort.",https://bfi.uchicago.edu/wp-content/uploads/2023/01/BFI_WP_2022-26-2.pdf,"submitted to ryan directly,GiveWell mentions and suggestions",suggested - externally - NGO,not needed (Unjournal Direct),,Health Policy/Health economics,,,,,,,,,,,"This work is very relevant to charity recommendations on water interventions.   A member of our team noted. “Kremer’s work on WASH informing evidence action 64 million grant GiveWell”. GiveWell themselves indicated a strong interest in having this evaluated. Furthermore, at least one senior academic and another senior applied researcher outside our team specifically suggested this.

For a ~nontechnical discussion, see “Why Effective Altruists Should Put a Higher Priority on Funding Academic Research — EA Forum “

","We have evaluators that come from relevant areas of health and economics.

We are most interested in criticisms of the meta-analysis, including the authors’ search strategy and selection criteria and their data analysis. Secondarily, we are interested in feedback and/or criticism on the cost-effectiveness analysis. While pure criticism is welcome, thoughts about ways to handle criticism are even more welcome. 

",,,,,RB: Just noting that I’m going to give the evaluators a little more time than 3 weeks as they originally agreed to this months ago and then the paper just wasn’t ready so from their POV I came back like 6 months later and they want to do it but might have a tough time fitting it into their schedule with no notice.,,,,,,52 days,,,,"Comments moved from Airtable version
DR discussed the ‘authors promising an update’ delay issues with Ryan here.
April 10, RB wrote: 
I’ve reached out to the co-author I’m in touch with telling him we’re moving on this soon, presenting the interim guidelines, asking what they are planning to change and not, etc. When I hear back I’ll move to reaching out to the evaluators I’ve lined up. they’re quite good. I’ll DM you if I have questions (or if you’d like to be in the loop)
DR: Great, please do loop me in

Ryan Briggs  wrote on May 7
Feel free to punt this over to Davit if he’s better here. The quick version is finally we got an updated version of the Water paper: https://bfi.uchicago.edu/wp-content/uploads/2023/01/BFI_WP_2022-26-2.pdf. It may not be the draft they submit, but I was able to push the authors to post what they have now.",Global health; “Health & well-being in low-income countries”,Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,20_awaiting_evaluations,Ryan Briggs,,"GH&D,interim evaluation",,,20_awaiting_evaluations,Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,,2024-04-26T19:49:22.169-04:00,,85%,,90%,Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,,Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,,"Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis",2024-06-28T00:00:00.000-04:00,,,,,2,2
67,,https://osf.io/preprints/socarxiv/q85ux/,Social media,suggested - internally,,Working paper/mimeo; not published in a peer-reviewed journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Authors find it “too risky” to engage with Unjournal atm. Otherwise it ticks a lot of our boxes: relevant to global priorities (as well as key philanthropic initiatives like the Happier Lives Institute), ambitious, practical, empirically rigorous, and open-science-friendly. Jamison and Blattman both have EA connections.",Economic development & governance (LMICs),Cognitive behavior therapy reduces crime and violence over 10 years: Experimental evidence,02_final consideration needed,,,GH&D,,,,Cognitive behavior therapy reduces crime and violence over 10 years: Experimental evidence,,2024-04-12T07:27:20.597-04:00,,55%,60%,57%,Cognitive behavior therapy reduces crime and violence over 10 years: Experimental evidence,,Cognitive behavior therapy reduces crime and violence over 10 years: Experimental evidence,,"Cognitive behavior therapy reduces crime and violence over 10 years: Experimental evidence,Cognitive behavior therapy reduces crime and violence over 10 years: Experimental evidence,Cognitive behavior therapy reduces crime and violence over 10 years: Experimental evidence",,,,,,,
68,,https://arxiv.org/abs/2308.07519,,,,Working paper/mimeo; not published in a peer-reviewed journal,Metascience,,,,,,,,,2023-08-15T00:00:00.000-04:00,,,,,,,,,https://doi.org/10.48550/arXiv.2308.07519,Possibly/Average likelihood/I have no idea,,,,,,,,,"Innovation, meta-science, and research",Serendipity in Science,deprioritized -- low ratings,,,prominent,,,,Serendipity in Science,,2024-04-12T07:27:20.597-04:00,,55%,50%,53%,Serendipity in Science,,Serendipity in Science,,"Serendipity in Science,Serendipity in Science,Serendipity in Science",,,,,,,
69,,https://www.nber.org/papers/w15466,NBER work (https://www.nber.org/papers) cited by EA orgs (describe which orgs),internal-NBER,,"published, decent journal ","Development and Growth,Innovation and R&D",,,,,,,,,,,,,,,,,,,,,,,52 days,,,,"Jose has mentioend the Azoulay paper many times in articles on Nintil, so compiling his notes would probably give one review by itself
https://www.google.com/search?q=site%3Ahttps%3A%2F%2Fnintil.com+azoulay+2011","Innovation, meta-science, and research",Incentives and Creativity: Evidence from the Academic Life Sciences,02_final consideration needed,Gavin Taylor,,,,,,Incentives and Creativity: Evidence from the Academic Life Sciences,,2024-04-12T07:27:20.597-04:00,,62%,75%,66%,Incentives and Creativity: Evidence from the Academic Life Sciences,,Incentives and Creativity: Evidence from the Academic Life Sciences,,"Incentives and Creativity: Evidence from the Academic Life Sciences,Incentives and Creativity: Evidence from the Academic Life Sciences,Incentives and Creativity: Evidence from the Academic Life Sciences",,,,,,,
70,Well-being: Cash vs. psychotherapy,https://www.nber.org/papers/w28106,Papers (NBER etc.) mentioned in EA forum (and related places),internal-NBER,,,"Econometrics,Experimental Design/Experimental economics,Microeconomics,Behavioral Economics,Development and Growth,Development/Development Economics",Economic development & governance (LMICs),,,,,,,,,,,,,,,,,,,,,,52 days,,,,"DR: Seems extremely relevant to the work of the Happier Lives Institute. Mentioned here: https://forum.effectivealtruism.org/posts/qo2QpLXBrrvdqJHXQ/a-dozen-doubts-about-givewell-s-numbers … but it seems to possibly contradict HLI’s support for Strong Minds (which makes this important).
An RP researcher also highlighted this one",Global health; “Health & well-being in low-income countries”,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,"50_published evaluations (on PubPub, by Unjournal)","Anirudh Tagat,Hansika Kapoor",,GH&D,,,,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,2024-04-12T07:27:20.597-04:00,,,,72%,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,"The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being",,,,,,,
71,,https://www.nber.org/papers/w28453,Papers (NBER etc.) mentioned in EA forum (and related places),internal-NBER,not needed (Unjournal Direct),,"International Economics,Globalization and International Relations/Global policy,Development and Growth,Innovation and R&D",Economic development & governance (LMICs),,,,,,,"Gavin Taylor,David Reinstein",,,,,,,,,,,,,,,,,,,"https://forum.effectivealtruism.org/posts/cecf9mGdqtxbfEt7z/govai-annual-report-2021-2
Anton Korinek is GPI associated",Emerging technologies: social and economic impacts (focus: AI),"Artificial intelligence, globalization, and strategies for economic development",deprioritized -- low ratings,,,,,,,"Artificial intelligence, globalization, and strategies for economic development",,2024-04-12T07:27:20.597-04:00,,60%,50%,57%,"Artificial intelligence, globalization, and strategies for economic development",,"Artificial intelligence, globalization, and strategies for economic development",,,,,,,,,
