label_paper_title,status,research_url,doi,main_cause_cat,secondary_cause_cat,publication_status,working_paper_release_date,topic_subfield,source_main
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,"50_published evaluations (on PubPub, by Unjournal)",https://www.nber.org/papers/w31354,,Economic development & governance (LMICs),,Working paper/mimeo; not published in a peer-reviewed journal,2023-06-19T00:00:00.000-04:00,"Labor Economics,Migration",internal-NBER
Health Knowledge and Non-Pharmaceutical Interventions During the COVID-19 Pandemic in Africa,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w28316,,Global health; “Health & well-being in low-income countries”,"Catastrophic & existential risks, the long-term future, forecasting","published, decent journal ",,"Health, Education, and Welfare,Development/Development Economics,Development and Growth,Covid-19,Health Policy/Health economics",internal-NBER
Longer-run Economic Consequences of Pandemics,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w26934,,"Catastrophic and existential risks,  the long-term future, forecasting","Other (Economics): Welfare, growth, policy, global markets & popn.","Published, ~top journal",,"International Economics,Covid-19",internal-NBER
The Environmental Effects of Economic Production: Evidence from Ecological Observations,"50_published evaluations (on PubPub, by Unjournal)",10,,Economic development & governance (LMICs),"The Environment: Harm to human health, biodiversity, risks & climate",Working paper/mimeo; not published in a peer-reviewed journal,2021-10-11T00:00:00.000-04:00,"Development and Growth,Renewable Resources,Environment/Environment and Resource economics,Policy",internal-NBER
"Top Talent, Elite Colleges, and Migration: Evidence from the Indian Institutes of Technology",01_Needs prioritization/assessor rating,https://www.nber.org/papers/w31308,,"Other: Economics/welfare, growth, policy, global markets and population",Economic development & governance (LMICs),"published, decent journal ",,Migration,internal-NBER
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,30_contacting/awaiting_authors_response_to_evaluation,https://static1.squarespace.com/static/60d0c05ace34212ef5a1131b/t/645a72201a2a280635acb739/1683649057454/Angrist_Ainomugisha_Bathena_Bergman_et-al_Building-Resilient-Education-Systems_2023.pdf,,Economic development & governance (LMICs),Global health; “Health & well-being in low-income countries”,Working paper/mimeo; not published in a peer-reviewed journal,,,internal-NBER
"Forced Displacement, Mental Health, and Child Development: Evidence from the Rohingya Refugees",authors rejected/blocked us,https://www.povertyactionlab.org/sites/default/files/research-paper/wp9686_Forced-Displacement-Mental-Health-Rohingya-Refugees_Oct2022.pdf,,Global health; “Health & well-being in low-income countries”,"Attitudes & behaviors (Altruism, moral circles,  effectiveness, political, etc.) [Psych/BE-adjacent ]",book chapter,,"Global Health/ interventions,Mental Health Interventions",suggested - externally - NGO
Dust pollution from the Sahara and African infant mortality,01_Needs prioritization/assessor rating,https://web.stanford.edu/~mburke/papers/heftneal_et_al_dust_2020.pdf,,Global health; “Health & well-being in low-income countries”,,"published, decent journal ",,"Development and Growth,Development/Development Economics,Environment/Environment and Resource economics",internal-NBER
Draft report on AI timelines,deprioritized -- low ratings,https://www.lesswrong.com/posts/KrJfoZzpSDpnrv9va/draft-report-on-ai-timelines,,"Catastrophic and existential risks,  the long-term future, forecasting",,Working paper/mimeo; not published in a peer-reviewed journal,,,suggested - externally - NGO
Generative AI at Work,deprioritized -- low ratings,https://www.nber.org/system/files/working_papers/w31161/w31161.pdf,,Emerging technologies: social and economic impacts (focus: AI),"Other (Economics): Welfare, growth, policy, global markets & popn.",Published - CHECK,,,internal-NBER
The Elasticity of Science,02_final consideration needed,https://www.kylemyers.org/_files/ugd/73b908_0a793223c0a644bc8ce519636abdc456.pdf,https://www.kylemyers.org/_files/ugd/73b908_0a793223c0a644bc8ce519636abdc456.pdf,"Innovation, meta-science, and research",,"Published, ~top journal",,,
Choose Your Moments: Peer Review and Scientific Risk Taking,04_selected_choose_evaluation_manager,https://www.nber.org/system/files/working_papers/w31409/w31409.pdf,,"Innovation, meta-science, and research",,Working paper/mimeo; not published in a peer-reviewed journal,,,
The Wandering Scholars: Understanding the Heterogeneity of University Commercialization,02_final consideration needed,https://www.hbs.edu/faculty/Pages/item.aspx?num=65320,https://doi.org/10.3386/w32069,"Innovation, meta-science, and research",,Working paper/mimeo; not published in a peer-reviewed journal,2024-01-18T00:00:00.000-05:00,"Metascience,Innovation and R&D,the economics of science and innovation",
Animals and Social Welfare,02_final consideration needed,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4113271,,Markets for products with large externalities (focus: animal agriculture),"Other (Economics): Welfare, growth, policy, global markets & popn.","published, decent journal ",2024-04-23T00:00:00.000-04:00,"animal welfare,Agriculture/ Ag econ",
Behavioral Evidence for Global Consciousness Transcending National Parochialism,01_Needs prioritization/assessor rating,https://www.researchgate.net/publication/370908621_Behavioral_Evidence_for_Global_Consciousness_Transcending_National_Parochialism,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",,Working paper/mimeo; not published in a peer-reviewed journal,,,
Giving farm animals a name and a face: Eliciting animal advocacy among omnivores using the identifiable victim effect,01_Needs prioritization/assessor rating,https://osf.io/preprints/psyarxiv/ybpm4,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",,Published: Psychology journal,,,
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",02_final consideration needed,https://luca-henkel.github.io/papers/Moral_Ends_Means.pdf,https://doi.org/10.3386/w32073,"Other: Theory and philosophy, artificial intelligence, natural science, etc.","Attitudes & behaviors (Altruism, moral circles,  effectiveness, political, etc.) [Psych/BE-adjacent ]",Working paper/mimeo; not published in a peer-reviewed journal,2024-01-29T00:00:00.000-05:00,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.)",
Digital Information Provision and Behavior Change: Lessons from Six Experiments in East Africa,02_final consideration needed,https://www.nber.org/papers/w32048#fromrss,10.3386/w32048,Economic development & governance (LMICs),,Working paper/mimeo; not published in a peer-reviewed journal,2024-01-01T00:00:00.000-05:00,"Development and Growth,Agriculture/ Ag econ",
"A Framework for Economic Growth with Capital-Embodied Technical Change
",02_final consideration needed,https://www.nber.org/papers/w30459,,"Other: Economics/welfare, growth, policy, global markets and population",,Working paper/mimeo; not published in a peer-reviewed journal,,,
Long-term effects of lead,deprioritized -- low ratings,https://www.nber.org/papers/w31957,https://doi.org/10.3386/w31957,Global health; “Health & well-being in low-income countries”,,Working paper/mimeo; not published in a peer-reviewed journal,2023-12-01T00:00:00.000-05:00,Health Policy/Health economics,
Copyright Policy Options for Generative Artificial Intelligence,When Product Markets Become Collective Traps: The Case of Social Media,https://www.nber.org/papers/w32106,https://doi.org/10.3386/w32106,Emerging technologies: social and economic impacts (focus: AI),,Working paper/mimeo; not published in a peer-reviewed journal,2024-02-05T00:00:00.000-05:00,,
How Learning About Harms Impacts the Optimal Rate of Artificial Intelligence Adoption,When Product Markets Become Collective Traps: The Case of Social Media,https://www.nber.org/papers/w32105?utm_campaign=ntwh&utm_medium=email&utm_source=ntwg2,https://doi.org/10.3386/w32105,"Catastrophic and existential risks,  the long-term future, forecasting","Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,2024-02-05T00:00:00.000-05:00,,
Urban Forests: Environmental Health Values and Risks,02_final consideration needed,https://static1.squarespace.com/static/56034c20e4b047f1e0c1bfca/t/64cc6e2433011927e704dd75/1691119145031/XHXXZ_urbanforest_2023-8-3.pdf,doi.org/10.3386/w31554,"The Environment: Harm to human health, biodiversity, risks and climate change",,Working paper/mimeo; not published in a peer-reviewed journal,2023-08-01T00:00:00.000-04:00,Environment/Environment and Resource economics,
What drives poor quality of care for child diarrhea?,deprioritized - no open access version,,doi.org/10.1126/science.adj9986,Global health; “Health & well-being in low-income countries”,,"Published, ~top journal",2024-02-09T00:00:00.000-05:00,Global Health/ interventions,
AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy,01_Needs prioritization/assessor rating,https://arxiv.org/abs/2402.07862,https://doi.org/10.48550/arXiv.2402.07862,Emerging technologies: social and economic impacts (focus: AI),,Working paper/mimeo; not published in a peer-reviewed journal,,,
Effective and Scalable Math Support: Evidence on the Impact of an AITutor on Math Achievement in Ghana,When Product Markets Become Collective Traps: The Case of Social Media,https://arxiv.org/ftp/arxiv/papers/2402/2402.09809.pdf,,Emerging technologies: social and economic impacts (focus: AI),,Published - CHECK,,,
Robots For Economic Development,02_final consideration needed,https://www.econstor.eu/handle/10419/249581,,Emerging technologies: social and economic impacts (focus: AI),"Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,2022-02-01T00:00:00.000-05:00,"Labor Economics,economic growth",suggested - internally
Moral expansiveness around the world: The role of societal factors across 36 countries,01_Needs prioritization/assessor rating,https://psyarxiv.com/2x6nv/,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]","Attitudes & behaviors (Altruism, moral circles,  effectiveness, political, etc.) [Psych/BE-adjacent ]",Published: Psychology journal,,,
Humans First: Why people value animals less than humans,deprioritized -- low ratings,http://files.luciuscaviola.com/Caviola-et-al_2022_Humans_first.pdf,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",Markets for products with large externalities (focus: animal agriculture),Published: Psychology journal,,,suggested - internally
National parochialism is ubiquitous across 42 nations around the world. Nature Communications. ,01_Needs prioritization/assessor rating,https://www.nature.com/articles/s41467-021-24787-1,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",,Published - CHECK,,,internal-from-syllabus-agenda-policy-database
"Empathy, Motivated Reasoning, and Redistribution",02_final consideration needed,https://web.stanford.edu/~tingyan/files/Empathy_JMP.pdf,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]","Other (Economics): Welfare, growth, policy, global markets & popn.",Unpublished,,,submitted (by author(s))
"Catastrophic climate change, population ethics and intergenerational equity",02_final consideration needed,https://ethz.ch/content/dam/ethz/special-interest/mtec/cer-eth/resource-econ-dam/documents/research/sured/sured-2018/58-MEJEAN%20et%20al%20SURED.pdf,,"Other: Economics/welfare, growth, policy, global markets and population","The Environment: Harm to human health, biodiversity, risks & climate","Published, ? journal",,,internal-from-syllabus-agenda-policy-database
Consumer preferences for cage-free eggs and impacts of retailer pledges,02_final consideration needed,https://onlinelibrary.wiley.com/doi/epdf/10.1002/agr.21580,,Markets for products with large externalities (focus: animal agriculture),"Attitudes & behaviors (Altruism, moral circles,  effectiveness, political, etc.) [Psych/BE-adjacent ],Possible category: more ‘economics’ treatment of preferences for giving and ‘ethical/donation-linked’ choices; implications of these preferences; donor coordination etc.","Published, ? journal",,,suggested - internally
Who Stands on the Shoulders of Chinese (Scientific) Giants? Evidence from Chemistry,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w30772,https://doi.org/10.3386/w30772,"Innovation, meta-science, and research",,Working paper/mimeo; not published in a peer-reviewed journal,2023-07-01T00:00:00.000-04:00,Metascience,
"Barriers to Education Technology Tools Faced by Educators in Pakistan, with a Focus on Mobile Internet Connectivity",deprioritized - no open access version,,,Economic development & governance (LMICs),,,,,submitted (by author(s))
Informing Mothers about the Benefits of Conversing with Infants: Experimental Evidence from Ghana,01_Needs prioritization/assessor rating,https://seemajayachandran.com/infant_directed_speech.pdf,,Global health; “Health & well-being in low-income countries”,,Published - CHECK,,,internal-NBER
Germs in the Family: The Long-Term Consequences of Intra-Household Endemic Respiratory Disease Spread,01_Needs prioritization/assessor rating,https://www.ipr.northwestern.edu/documents/working-papers/2021/wp-21-53.pdf,,"Health and well-being (global, including wealthy countries)","Communicable diseases, bio-security & pandemic preparedness, biological risks",Working paper/mimeo; not published in a peer-reviewed journal,,"Health, Education, and Welfare,Health Policy/Health economics,Infectious Disease Modelling,epidemiology",internal-NBER
Persistence: A critical review,01_Needs prioritization/assessor rating,https://docs.google.com/document/d/14ULAaTofWiQbTCP1ekuaenQJ6saXEzjgiKMznIBrXvQ/edit,,"Catastrophic and existential risks,  the long-term future, forecasting",Empirical methods,Unpublished,,meta-analysis,suggested - externally
Understanding the Impacts of a Natural Disaster: Evidence from the 2004 Indian Ocean Tsunami,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w31132,,"Catastrophic and existential risks,  the long-term future, forecasting",Economic development & governance (LMICs),Working paper/mimeo; not published in a peer-reviewed journal,,,internal-NBER
Harms of AI,01_Needs prioritization/assessor rating,https://economics.mit.edu/sites/default/files/publications/Harms%20of%20AI.pdf,,Emerging technologies: social and economic impacts (focus: AI),"Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,,"Development and Growth,Innovation and R&D,Economic Systems,Industrial Organization",internal-NBER
"Reducing Bias Among Health Care Providers: Experimental Evidence From Tanzania, Burkina Faso, and Pakistan",01_Needs prioritization/assessor rating,https://www.nber.org/papers/w31269,,Global health; “Health & well-being in low-income countries”,Economic development & governance (LMICs),,,,internal-NBER
What happens when the machines stop? [FLAG: internal author],deprioritized -- out of scope or other subjective judgment,https://doi.org/10.31235/osf.io/2vctm,,"Catastrophic and existential risks,  the long-term future, forecasting",,Working paper/mimeo; not published in a peer-reviewed journal,,,submitted (by author(s))
"The Missing Middle Managers: Labor Costs, Firm Structure, and Development",deprioritized -- low ratings,https://www.nber.org/papers/w30592,,Economic development & governance (LMICs),,Working paper/mimeo; not published in a peer-reviewed journal,,"Development and Growth,Policy",internal-NBER
The Impact of Group Size on Giving Versus Demand for Redistribution [renamed],01_Needs prioritization/assessor rating,https://www.nber.org/papers/w29375,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",Possible category: more ‘economics’ treatment of preferences for giving and ‘ethical/donation-linked’ choices; implications of these preferences; donor coordination etc.,Working paper/mimeo; not published in a peer-reviewed journal,,"Health, Education, and Welfare,Poverty and Wellbeing",internal-NBER
Uncertainty and Individual Discretion in Allocating Research Funds,02_final consideration needed,https://www.nber.org/papers/w32033,,"Innovation, meta-science, and research",,Working paper/mimeo; not published in a peer-reviewed journal,,,
Surplus Appropriation from R&D and Health Care Technology Assessment Procedures,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w12016,,"Health and well-being (global, including wealthy countries)","Innovation, meta-science, & research",Working paper/mimeo; not published in a peer-reviewed journal,,"Health, Education, and Welfare,Health Policy/Health economics",internal-NBER
Randomization in the Tropics Revisited: a Theme and Eleven Variations,deprioritized -- low ratings,https://academic.oup.com/book/31966/chapter/267702059,,Global health; “Health & well-being in low-income countries”,Economic development & governance (LMICs),Working paper/mimeo; not published in a peer-reviewed journal,,"Econometrics,Experimental Design/Experimental economics,Development and Growth",internal-NBER
Global variation in subjective well-being predicts seven forms of altruism. ,01_Needs prioritization/assessor rating,https://www.researchgate.net/profile/Shawn-Rhoads/publication/351196245_Global_variation_in_subjective_well-being_predicts_seven_forms_of_altruism/links/609b49e2a6fdccaebd255046/Global-variation-in-subjective-well-being-predicts-seven-forms-of-altruism.pdf,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",,Published: Psychology journal,,,internal-from-syllabus-agenda-policy-database
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,10_seeking_(more)_evaluators,https://lirias.kuleuven.be/3946788?limo=0,,Markets for products with large externalities (focus: animal agriculture),"Attitudes & behaviors (Altruism, moral circles,  effectiveness, political, etc.) [Psych/BE-adjacent ]","published, decent journal ",,,
Structural Uncertainty and the Value of Statistical Life in the Economics of Catastrophic Climate Change,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w13490,,"Catastrophic and existential risks,  the long-term future, forecasting","The Environment: Harm to human health, biodiversity, risks & climate",Working paper/mimeo; not published in a peer-reviewed journal,,Environment/Environment and Resource economics,internal-NBER
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,"50_published evaluations (on PubPub, by Unjournal)",https://forecastingresearch.org/s/XPT.pdf,,"Catastrophic and existential risks,  the long-term future, forecasting",,Published - CHECK,,,suggested - internally
Generation Next: Experimentation with AI,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w31679,https://doi.org/10.3386/w31679,Emerging technologies: social and economic impacts (focus: AI),,Working paper/mimeo; not published in a peer-reviewed journal,2023-09-01T00:00:00.000-04:00,,
Concentration and Resilience in the US Meat Supply Chains,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w29103,,Markets for products with large externalities (focus: animal agriculture),"Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,,"Industrial Organization,Market Structure and Firm Performance,Agriculture/ Ag econ,Covid-19,Environment/Environment and Resource economics",internal-NBER
Pharmaceutical Pricing and R&D as a Global Public Good,01_Needs prioritization/assessor rating,https://elsevier-ssrn-document-store-prod.s3.amazonaws.com/jpube/7d31a8d9-ef88-4d8c-9868-72d58d777f01-meca.pdf?response-content-disposition=inline&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJ7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIQDWju%2FjreY1to5hh1dx2j2RhIjHPVGvIBsmKg75YxPHWwIgZcRVdahyU%2FPZV%2FYwmapD6LXz0xdicDgvdeP4tc4a37IqxgUIpv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAEGgwzMDg0NzUzMDEyNTciDEkaZYjk4goUJKl1iSqaBUUVsaw7b%2FwPSFUn0EzPXs%2F4HFzX7zlKRkDcbI9ekeFryAcjmTyQGnSxm2v8T9Eo%2BKnFhlslRAPP4u0QVg3LZ4zF%2Bn1no0AS2nCk4zfFgbImIncPSpHlfpJUX%2BkjW9jlVrDn0ny5DCCO%2B5xZVmsd%2BNj94xF2Y5mARvZFXdypI76JUPszQRd1wfjTooF3el27TGxBPeiyZ87yoTv0oCPl8HiXb5BCTJczJaN2N7WcIgU4EQe48RtWS7sHHrrZpuFlYVM8WpHykV1K9XyNHMhN03DjeRJeCF6jPpCFH5chPJTkj%2B7%2FIN7eHqLWYOlhDTpe2Sg5It2%2FGZxXIFQ%2FrTZMkYViG50igUYUw2g4U4SxGErF1xmXTzdu4BdCeNMIqpMGK9i%2FMn2xJqnd1vfFWE4BDy0TZJuLWgQ%2Fhkd%2Bs6vRbpk46PMyJdRyn%2FQEGUnwAGKiW2MtsB2ax82zv2cHmXqkP1bh6FilsTVuDlIdZVbAdZyXfiJDVDCgYYAvh2A8S3eTsHgwpOjKFQf1AnZemAHZchyFFusm1YN1KpvmLMXiEOvwQmPHz%2BPNmxHMEdEhzCyXTCEQCkfu%2BQEgQNNeINoL4uQV3g4TelhufaK6H2jN9VODEKdp2FjYXT66dPalUfWAEX4A03OFmLZowwJvBQSkXkBoTKIvzjMPVTe2Y%2FFMUhXZ8fpnXlW6trfP9nZdYtm%2F33FnbhQwAdrml7%2Fm7WqsiAT9vsjMdxG3hI1D8RkF0%2BJncFMafiRI5ffwB6p9DqV6MiZqQXdsyHt9Hi2o77VLmq2FeNP3ijRAH%2FvoyviqarrKzY2K24N%2FzN2PbJSX6PaD8IuQhEYRLVbNDd7FN%2FQYHKeym7wMW2Vw9YsvK0SpEh3NWZErmut5lqpokjCqmKK2BjqxAftbjhSpXelbgk%2BWE1Enyqj5btXOi%2BEtQnoQWfSz5JqEvtkyRV37HKxw5ABoPHC4P7aQ4KYdq4leTnWELRcOyEl58T9S9%2BNbFCXfoEEzNaPV6mEDFJXfj4YNshUBw3FOc51hfKY1hbAT69CNkcJG5cG5f9SQ2PepLOCiU%2B1jGQSxz%2B5w8tid1yuhD%2BAFZFV2%2FX%2BR7XUPOqXSjeKY6dr3tUpcBFDhlsL7Zncdl10Q776A5Q%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240823T140817Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAUPUUPRWE5S3ZOO6C%2F20240823%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=c9b4f638788c50fa0c448b04210cbc278e3d2509611954a6a1809f193bb4715b,,"Other: Economics/welfare, growth, policy, global markets and population","Health & well-being (global, incl. wealthy countries) ,International cooperation & conflict, government behavior,  authoritarianism",Working paper/mimeo; not published in a peer-reviewed journal,,,internal-NBER
Every little helps: exploring meat and animal product consumption in the Tesco 1.0 dataset,02_final consideration needed,https://cabiagbio.biomedcentral.com/articles/10.1186/s43170-023-00178-y,https://doi.org/10.1186/s43170-023-00178-y,Markets for products with large externalities (focus: animal agriculture),,Published - CHECK,,"animal welfare,consumer preferences,Agriculture/ Ag econ,Food Systems/Food Security",submitted (by author(s))
Population ethical intuitions. Cognition.,02_final consideration needed,https://psyarxiv.com/wdbr8/download?format=pdf,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",,Published: Psychology journal,,,internal-from-syllabus-agenda-policy-database
A Model of Online Misinformation,"de-prioritized bc. of journal-publication status, authors permission, etc.",https://www.nber.org/system/files/working_papers/w28884/w28884.pdf,,Beliefs and misinformation,,Working paper/mimeo; not published in a peer-reviewed journal,,,internal-NBER
Misinformation During a Pandemic,"de-prioritized bc. of journal-publication status, authors permission, etc.",https://www.nber.org/papers/w27417,,"Health and well-being (global, including wealthy countries)","Communicable diseases, bio-security & pandemic preparedness, biological risks,Catastrophic & existential risks, the long-term future, forecasting,Global health; “Health & well-being in low-income countries”,Beliefs and misinformation","Published, ~top journal",,"Microeconomics,Health, Education, and Welfare,Poverty and Wellbeing,Covid-19",internal-NBER
Egg producer attitudes and expectations regarding the transition to cage-free production: a mixed-methods approach,deprioritized -- low ratings,https://www.sciencedirect.com/science/article/pii/S0032579123005771,,Markets for products with large externalities (focus: animal agriculture),"Attitudes & behaviors (Altruism, moral circles,  effectiveness, political, etc.) [Psych/BE-adjacent ]","Published, ? journal",,animal welfare,suggested - internally
Randomized Regulation: The Impact of Minimum Quality Standards on Health Markets,01_Needs prioritization/assessor rating,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099512203282320098/idu0932a20f9092e104d0c0a67a02b09390486b1,,Global health; “Health & well-being in low-income countries”,Economic development & governance (LMICs),Working paper/mimeo; not published in a peer-reviewed journal,,,internal-NBER
Carbon Pricing with Regressive Co-benefits: Evidence from British Columbia’s Carbon Tax,deprioritized -- low ratings,https://lorenzosileci.com/assets/pdf/JMP.pdf,,"The Environment: Harm to human health, biodiversity, risks and climate change",,Working paper/mimeo; not published in a peer-reviewed journal,2023-11-01T00:00:00.000-04:00,Environment/Environment and Resource economics,
Stagnation and Scientific Incentives,10_seeking_(more)_evaluators,https://www.nber.org/system/files/working_papers/w26752/w26752.pdf,,"Innovation, meta-science, and research",,Working paper/mimeo; not published in a peer-reviewed journal,,"Health, Education, and Welfare,Development and Growth,Innovation and R&D,Health Policy/Health economics",internal-NBER
The Surrogate Index: Combining Short-Term Proxies to Estimate Long-Term Treatment Effects More Rapidly and Precisely.,02_final consideration needed,https://opportunityinsights.org/wp-content/uploads/2019/11/surrogate_paper.pdf,,"Catastrophic and existential risks,  the long-term future, forecasting","Empirical methods,Global health; “Health & well-being in low-income countries”",Published - CHECK,,Econometrics,internal-from-syllabus-agenda-policy-database
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,02_final consideration needed,https://bibliothek.wzb.eu/pdf/2024/ii20-302r2.pdf,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]","Other (Economics): Welfare, growth, policy, global markets & popn.","published, decent journal ",,,suggested - internally
From mostly vegetarian to fully vegetarian: Meat avoidance and the expression of social identity,deprioritized -- low ratings,https://www.sciencedirect.com/science/article/pii/S0950329320302329,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",,Published - CHECK,,,suggested - externally - NGO
Does Combating Corruption Reduce Clientelism?,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w31266,,"International cooperation and conflict, behavior of large governments; authoritarianism",Economic development & governance (LMICs),Working paper/mimeo; not published in a peer-reviewed journal,,,internal-NBER
The impact of weather shocks on exports,deprioritized -- low ratings,https://leannecass.com/uploads/LCassJMP.pdf,,"Other: Economics/welfare, growth, policy, global markets and population",,Working paper/mimeo; not published in a peer-reviewed journal,2023-11-01T00:00:00.000-04:00,Environment/Environment and Resource economics,
General equilibrium effects of cash transfers: experimental evidence from Kenya,"de-prioritized bc. of journal-publication status, authors permission, etc.",https://www.givedirectly.org/wp-content/uploads/2019/11/General-Equilibrium-Effects-of-Cash-Transfers.pdf,,Economic development & governance (LMICs),"Other (Economics): Welfare, growth, policy, global markets & popn.","Published, ~top journal",,,suggested - internally
Covid-19 Infection Externalities: Trading Off Lives vs. Livelihoods,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w27009,,"Health and well-being (global, including wealthy countries)",,Working paper/mimeo; not published in a peer-reviewed journal,,"Covid-19,Health, Education, and Welfare,Taxation,Public Economics,Health Policy/Health economics",internal-NBER
"Predicting the moral consideration of artificial intelligences, Janet V.T. Pauketat, Jacy Reese Anthis",deprioritized -- low ratings,https://www.sentienceinstitute.org/downloads/predicting-the-moral-consideration-of-artificial-intelligences.pdf,,"Other: Theory and philosophy, artificial intelligence, natural science, etc.",,"Published, ? journal",,,suggested - internally
Replicability & Generalisability:  A Guide to CEA discounts,"50_published evaluations (on PubPub, by Unjournal)",https://docs.google.com/document/d/1eJBSmNG-iRJ-twoHaoztQUmB4pmEHut8_oT3xgtldnI/edit#heading=h.7om527x8q9t7,,"Other: Economics/welfare, growth, policy, global markets and population","Global health; “Health & well-being in low-income countries”,Economic development & governance (LMICs)",Working paper/mimeo; not published in a peer-reviewed journal,2023-06-21T00:00:00.000-04:00,Research methods,suggested - externally - NGO
ST Proxies for LT Forecasts – Tereick,Not a paper/project,,,Empirical methods,,Unpublished,,,NA
Water Treatment and Child Mortality: Evidence from Kenya,"de-prioritized bc. of journal-publication status, authors permission, etc.",https://bfi.uchicago.edu/wp-content/uploads/2021/10/BFI_WP_2021-118.pdf,,Global health; “Health & well-being in low-income countries”,,Working paper/mimeo; not published in a peer-reviewed journal,,"Health, Education, and Welfare,Development and Growth,Development/Development Economics,Health Policy/Health economics",internal-NBER
Globalization and Pandemics,deprioritized -- low ratings,https://www.nber.org/papers/w27840,,"Communicable diseases, bio-security and pandemic preparedness, biological risks","Catastrophic & existential risks, the long-term future, forecasting",Working paper/mimeo; not published in a peer-reviewed journal,,"International Economics,Globalization and International Relations/Global policy,Health, Education, and Welfare,Covid-19,Health Policy/Health economics",internal-NBER
"Is the Global Economy Deglobalizing? And if so, why? And what is next?",deprioritized -- low ratings,https://www.brookings.edu/articles/is-the-global-economy-deglobalizing-and-if-so-why-and-what-is-next/,,"Other: Economics/welfare, growth, policy, global markets and population",,Published - CHECK,,,internal-NBER
"Uncertainty and Risk-Taking in Science: Meaning, Measurement and Management in Peer Review of Research Proposals (Franzoni and Stephan)",deprioritized -- low ratings,https://www.nber.org/papers/w28562,,"Innovation, meta-science, and research",,Working paper/mimeo; not published in a peer-reviewed journal,,"Development and Growth,Public Economics,Health, Education, and Welfare,Innovation and R&D,Education",internal-NBER
The Basket-Based Choice Experiment: A Method for Food Demand Policy Analysis,01_Needs prioritization/assessor rating,https://www.sciencedirect.com/science/article/abs/pii/S0306919222000343?via%3Dihub,,Markets for products with large externalities (focus: animal agriculture),Empirical methods,Published - CHECK,,,suggested - externally - NGO
